[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Prochlorperazine.]
[C02AC02, guanfacine, The risk or severity of adverse effects can be increased when Prochlorperazine is combined with Guanfacine.]
[C01BG01, moricizine, The risk or severity of adverse effects can be increased when Prochlorperazine is combined with Moricizine.]
[G02AB03, ergonovine, The risk or severity of adverse effects can be increased when Ergometrine is combined with Prochlorperazine.]
[C04AE01, ergoloid mesylates, USP, The risk or severity of adverse effects can be increased when Ergoloid mesylate is combined with Prochlorperazine.]
[N02CA02, ergotamine, The metabolism of Prochlorperazine can be decreased when combined with Ergotamine.]
[N03AG01, valproic acid, The risk or severity of QTc prolongation can be increased when Prochlorperazine is combined with Valproic acid.]
[S01AA17, erythromycin, The risk or severity of QTc prolongation can be increased when Erythromycin is combined with Prochlorperazine.]
[N05CD04, estazolam, The risk or severity of adverse effects can be increased when Prochlorperazine is combined with Estazolam.]
[H05BX01, cinacalcet, The metabolism of Prochlorperazine can be decreased when combined with Cinacalcet.]
[J04AK02, ethambutol, The metabolism of Prochlorperazine can be decreased when combined with Ethambutol.]
[C10AA04, fluvastatin, The metabolism of Fluvastatin can be decreased when combined with Prochlorperazine.]
[C01CA15, gepefrine, Prochlorperazine may decrease the stimulatory activities of Gepefrine.]
[N05CM08, ethchlorvynol, The risk or severity of adverse effects can be increased when Ethchlorvynol is combined with Prochlorperazine.]
[C01BD05, ibutilide, The risk or severity of QTc prolongation can be increased when Prochlorperazine is combined with Ibutilide.]
[N04AA05, profenamine, The therapeutic efficacy of Profenamine can be decreased when used in combination with Prochlorperazine.]
[N03AD01, ethosuximide, The risk or severity of adverse effects can be increased when Prochlorperazine is combined with Ethosuximide.]
[N03AB01, ethotoin, The risk or severity of adverse effects can be increased when Prochlorperazine is combined with Ethotoin.]
[S01XA06, ethylmorphine, The risk or severity of hypotension and CNS depression can be increased when Prochlorperazine is combined with Ethylmorphine.]
[N01AX07, etomidate, The risk or severity of adverse effects can be increased when Etomidate is combined with Prochlorperazine.]
[N05AE03, sertindole, The risk or severity of adverse effects can be increased when Prochlorperazine is combined with Sertindole.]
[C01BA05, ajmaline, The risk or severity of QTc prolongation can be increased when Ajmaline is combined with Prochlorperazine.]
[L04AD02, tacrolimus, The risk or severity of QTc prolongation can be increased when Tacrolimus is combined with Prochlorperazine.]
[J01MA08, fleroxacin, The risk or severity of QTc prolongation can be increased when Fleroxacin is combined with Prochlorperazine.]
[R06AX11, astemizole, The metabolism of Astemizole can be decreased when combined with Prochlorperazine.]
[R06AX12, terfenadine, The metabolism of Prochlorperazine can be decreased when combined with Terfenadine.]
[N06AX12, bupropion, The metabolism of Prochlorperazine can be decreased when combined with Bupropion.]
[N06AB08, fluvoxamine, The metabolism of Prochlorperazine can be decreased when combined with Fluvoxamine.]
[C01BC08, encainide, The risk or severity of QTc prolongation can be increased when Encainide is combined with Prochlorperazine.]
[L02AE02, leuprolide, The risk or severity of QTc prolongation can be increased when Leuprolide is combined with Prochlorperazine.]
[A02BA03, famotidine, The risk or severity of QTc prolongation can be increased when Famotidine is combined with Prochlorperazine.]
[C08CA02, felodipine, The metabolism of Prochlorperazine can be decreased when combined with Felodipine.]
[C08EA01, fendiline, The risk or severity of QTc prolongation can be increased when Prochlorperazine is combined with Fendiline.]
[N03AX26, fenfluramine, The risk or severity of adverse effects can be increased when Prochlorperazine is combined with Fenfluramine.]
[N02AB03, fentanyl, The risk or severity of hypotension and CNS depression can be increased when Prochlorperazine is combined with Fentanyl.]
[R03CC02, albuterol, The risk or severity of QTc prolongation can be increased when Salbutamol is combined with Prochlorperazine.]
[N07AX03, cevimeline, The metabolism of Prochlorperazine can be decreased when combined with Cevimeline.]
[G04BD02, flavoxate, Prochlorperazine may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[C01BC04, flecainide, The metabolism of Flecainide can be decreased when combined with Prochlorperazine.]
[J02AC01, fluconazole, The metabolism of Prochlorperazine can be decreased when combined with Fluconazole.]
[N07CA03, flunarizine, The risk or severity of adverse effects can be increased when Prochlorperazine is combined with Flunarizine.]
[N05CD03, flunitrazepam, The risk or severity of adverse effects can be increased when Prochlorperazine is combined with Flunitrazepam.]
[N06AA14, melitracen, The serum concentration of Melitracen can be increased when it is combined with Prochlorperazine.]
[V03AZ01, ethanol, Prochlorperazine may increase the central nervous system depressant (CNS depressant) activities of Ethanol.]
[L01BC02, fluorouracil, The risk or severity of QTc prolongation can be increased when Prochlorperazine is combined with Fluorouracil.]
[N06AB03, fluoxetine, The serum concentration of Prochlorperazine can be increased when it is combined with Fluoxetine.]
[N05AF01, flupenthixol, The risk or severity of QTc prolongation can be increased when Prochlorperazine is combined with Flupentixol.]
[N05AB02, fluphenazine, The risk or severity of adverse effects can be increased when Prochlorperazine is combined with Fluphenazine.]
[N05CD01, flurazepam, The risk or severity of adverse effects can be increased when Prochlorperazine is combined with Flurazepam.]
[N05AG01, fluspirilene, The risk or severity of QTc prolongation can be increased when Prochlorperazine is combined with Fluspirilene.]
[M03AA01, alcuronium, The risk or severity of adverse effects can be increased when Prochlorperazine is combined with Alcuronium.]
[G01AX06, furazolidone, The risk or severity of extrapyramidal symptoms can be increased when Furazolidone is combined with Prochlorperazine.]
[J05AE10, darunavir, The metabolism of Prochlorperazine can be decreased when combined with Darunavir.]
[N05CF04, eszopiclone, The risk or severity of CNS depression can be increased when Prochlorperazine is combined with Eszopiclone.]
[N05AL05, amisulpride, Prochlorperazine may increase the antipsychotic activities of Amisulpride.]
[N06DA04, galantamine, The risk or severity of QTc prolongation can be increased when Galantamine is combined with Prochlorperazine.]
[M03AC02, gallamine, The risk or severity of adverse effects can be increased when Prochlorperazine is combined with Gallamine.]
[C08DA02, gallopamil, The risk or severity of QTc prolongation can be increased when Gallopamil is combined with Prochlorperazine.]
[N03AA04, barbexaclone, The risk or severity of adverse effects can be increased when Prochlorperazine is combined with Barbexaclone.]
[N06AX08, bifemelane, The risk or severity of adverse effects can be increased when Prochlorperazine is combined with Bifemelane.]
[J01XA03, telavancin, The risk or severity of QTc prolongation can be increased when Prochlorperazine is combined with Telavancin.]
[L02BX02, degarelix, The risk or severity of QTc prolongation can be increased when Degarelix is combined with Prochlorperazine.]
[L01EA02, dasatinib, The risk or severity of QTc prolongation can be increased when Dasatinib is combined with Prochlorperazine.]
[N04BC06, cabergoline, The therapeutic efficacy of Cabergoline can be decreased when used in combination with Prochlorperazine.]
[N03AD03, methsuximide, The risk or severity of adverse effects can be increased when Prochlorperazine is combined with Methsuximide.]
[N01AH02, alfentanil, The risk or severity of hypotension and CNS depression can be increased when Prochlorperazine is combined with Alfentanil.]
[L01EH01, lapatinib, The risk or severity of QTc prolongation can be increased when Lapatinib is combined with Prochlorperazine.]
[A10BB01, glyburide, The therapeutic efficacy of Glyburide can be decreased when used in combination with Prochlorperazine.]
[A10BB09, gliclazide, The therapeutic efficacy of Gliclazide can be decreased when used in combination with Prochlorperazine.]
[A10BB07, glipizide, The therapeutic efficacy of Glipizide can be decreased when used in combination with Prochlorperazine.]
[N05CM18, dexmedetomidine, The risk or severity of adverse effects can be increased when Prochlorperazine is combined with Dexmedetomidine.]
[N05CE01, glutethimide, The risk or severity of adverse effects can be increased when Prochlorperazine is combined with Glutethimide.]
[C01BD04, dofetilide, Prochlorperazine may decrease the excretion rate of Dofetilide which could result in a higher serum level.]
[C02CA04, doxazosin, The metabolism of Doxazosin can be decreased when combined with Prochlorperazine.]
[L01EX02, sorafenib, The risk or severity of QTc prolongation can be increased when Sorafenib is combined with Prochlorperazine.]
[C07AB09, esmolol, The serum concentration of Esmolol can be increased when it is combined with Prochlorperazine.]
[L02AE03, goserelin, The risk or severity of QTc prolongation can be increased when Goserelin is combined with Prochlorperazine.]
[P01BX01, halofantrine, The risk or severity of QTc prolongation can be increased when Halofantrine is combined with Prochlorperazine.]
[N05AD01, haloperidol, The risk or severity of QTc prolongation can be increased when Prochlorperazine is combined with Haloperidol.]
[N01AB01, halothane, The risk or severity of adverse effects can be increased when Prochlorperazine is combined with Halothane.]
[L02AE05, histrelin, The risk or severity of QTc prolongation can be increased when Histrelin is combined with Prochlorperazine.]
[N05AH04, quetiapine, Prochlorperazine may increase the central nervous system depressant (CNS depressant) activities of Quetiapine.]
[A10AD05, insulin aspart, human, The therapeutic efficacy of Insulin aspart can be decreased when used in combination with Prochlorperazine.]
[N02CX03, iprazochrome, The risk or severity of adverse effects can be increased when Prochlorperazine is combined with Iprazochrome.]
[N05CA21, allobarbital, The risk or severity of adverse effects can be increased when Prochlorperazine is combined with Allobarbital.]
[C09CA01, losartan, The risk or severity of QTc prolongation can be increased when Losartan is combined with Prochlorperazine.]
[N05CA16, hexobarbital, The risk or severity of adverse effects can be increased when Prochlorperazine is combined with Hexobarbital.]
[J05AG01, nevirapine, The metabolism of Prochlorperazine can be decreased when combined with Nevirapine.]
[C08CA10, nilvadipine, The risk or severity of QTc prolongation can be increased when Prochlorperazine is combined with Nilvadipine.]
[R06AE06, oxatomide, The risk or severity of QTc prolongation can be increased when Prochlorperazine is combined with Oxatomide.]
[C03AA03, hydrochlorothiazide, The risk or severity of QTc prolongation can be increased when Hydrochlorothiazide is combined with Prochlorperazine.]
[R05DA03, hydrocodone, Prochlorperazine may increase the central nervous system depressant (CNS depressant) activities of Hydrocodone.]
[G04BD06, propiverine, Prochlorperazine may increase the central nervous system depressant (CNS depressant) activities of Propiverine.]
[P01BA02, hydroxychloroquine, The risk or severity of QTc prolongation can be increased when Hydroxychloroquine is combined with Prochlorperazine.]
[N05AX07, prothipendyl, The risk or severity of adverse effects can be increased when Prochlorperazine is combined with Prothipendyl.]
[N05BB01, hydroxyzine, The risk or severity of QTc prolongation can be increased when Prochlorperazine is combined with Hydroxyzine.]
[B05CB02, sodium citrate, Prochlorperazine may increase the neurotoxic activities of Sodium citrate.]
[L01DB06, idarubicin, The metabolism of Idarubicin can be decreased when combined with Prochlorperazine.]
[N01AH03, sufentanil, The risk or severity of hypotension and CNS depression can be increased when Prochlorperazine is combined with Sufentanil.]
[N06AA02, imipramine, The metabolism of Prochlorperazine can be decreased when combined with Imipramine.]
[L01CD01, paclitaxel, Prochlorperazine may increase the neurotoxic activities of Paclitaxel.]
[H01BA04, terlipressin, The risk or severity of QTc prolongation can be increased when Prochlorperazine is combined with Terlipressin.]
[M03BX02, tizanidine, The risk or severity of adverse effects can be increased when Prochlorperazine is combined with Tizanidine.]
[C03BA11, indapamide, The risk or severity of QTc prolongation can be increased when Indapamide is combined with Prochlorperazine.]
[N06AX17, milnacipran, The risk or severity of adverse effects can be increased when Prochlorperazine is combined with Milnacipran.]
[A03AA30, piperidolate, Prochlorperazine may increase the central nervous system depressant (CNS depressant) activities of Piperidolate.]
[N01BB08, articaine, The risk or severity of adverse effects can be increased when Prochlorperazine is combined with Articaine.]
[N05BA12, alprazolam, The risk or severity of adverse effects can be increased when Alprazolam is combined with Prochlorperazine.]
[N05CH02, ramelteon, The risk or severity of adverse effects can be increased when Prochlorperazine is combined with Ramelteon.]
[R06AE01, buclizine, Prochlorperazine may increase the central nervous system depressant (CNS depressant) activities of Buclizine.]
[C10AA06, cerivastatin, The metabolism of Prochlorperazine can be decreased when combined with Cerivastatin.]
[L01XX35, anagrelide, The risk or severity of QTc prolongation can be increased when Prochlorperazine is combined with Anagrelide.]
[C07AA01, alprenolol, The serum concentration of Alprenolol can be increased when it is combined with Prochlorperazine.]
[V03AB01, ipecac, The metabolism of Ipecac can be decreased when combined with Prochlorperazine.]
[J05AF04, stavudine, Prochlorperazine may increase the neurotoxic activities of Stavudine.]
[N06AA13, iprindole, The serum concentration of Iprindole can be increased when it is combined with Prochlorperazine.]
[N06AF05, iproniazid, The risk or severity of extrapyramidal symptoms can be increased when Iproniazid is combined with Prochlorperazine.]
[N05AA07, chlorproethazine, The risk or severity of adverse effects can be increased when Prochlorperazine is combined with Chlorproethazine.]
[N06AF01, isocarboxazid, The risk or severity of extrapyramidal symptoms can be increased when Isocarboxazid is combined with Prochlorperazine.]
[P01AX06, atovaquone, The risk or severity of QTc prolongation can be increased when Atovaquone is combined with Prochlorperazine.]
[N01AB06, isoflurane, The risk or severity of adverse effects can be increased when Prochlorperazine is combined with Isoflurane.]
[N04BX02, entacapone, The therapeutic efficacy of Entacapone can be decreased when used in combination with Prochlorperazine.]
[J04AC01, isoniazid, The metabolism of Prochlorperazine can be decreased when combined with Isoniazid.]
[N06AX18, reboxetine, The risk or severity of adverse effects can be increased when Reboxetine is combined with Prochlorperazine.]
[A02AB01, aluminum hydroxide, Aluminum hydroxide can cause a decrease in the absorption of Prochlorperazine resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[L04AC07, tocilizumab, The metabolism of Prochlorperazine can be increased when combined with Tocilizumab.]
[N01AX03, ketamine, The risk or severity of adverse effects can be increased when Prochlorperazine is combined with Ketamine.]
[C02KD01, ketanserin, The risk or severity of adverse effects can be increased when Prochlorperazine is combined with Ketanserin.]
[J02AB02, ketoconazole, The metabolism of Prochlorperazine can be decreased when combined with Ketoconazole.]
[H02CA04, levoketoconazole, The metabolism of Prochlorperazine can be decreased when combined with Levoketoconazole.]
[N05AH03, olanzapine, Prochlorperazine may increase the central nervous system depressant (CNS depressant) activities of Olanzapine.]
[L04AA24, abatacept, The metabolism of Prochlorperazine can be increased when combined with Abatacept.]
[R06AX25, mizolastine, The risk or severity of QTc prolongation can be increased when Prochlorperazine is combined with Mizolastine.]
[N04BC09, rotigotine, Prochlorperazine may increase the sedative activities of Rotigotine.]
[J01MB02, nalidixic acid, The risk or severity of QTc prolongation can be increased when Prochlorperazine is combined with Nalidixic acid.]
[C07AG01, labetalol, The serum concentration of Labetalol can be increased when it is combined with Prochlorperazine.]
[N04BB01, amantadine, The therapeutic efficacy of Amantadine can be decreased when used in combination with Prochlorperazine.]
[N03AX18, lacosamide, The risk or severity of adverse effects can be increased when Prochlorperazine is combined with Lacosamide.]
[N04BA01, levodopa, The therapeutic efficacy of Levodopa can be decreased when used in combination with Prochlorperazine.]
[S02DA01, lidocaine, The risk or severity of adverse effects can be increased when Lidocaine is combined with Prochlorperazine.]
[C08EX01, lidoflazine, The risk or severity of QTc prolongation can be increased when Lidoflazine is combined with Prochlorperazine.]
[J01FF02, lincomycin, Prochlorperazine may increase the neurotoxic activities of Lincomycin.]
[N02CA07, lisuride, The therapeutic efficacy of Lisuride can be decreased when used in combination with Prochlorperazine.]
[N06AA07, lofepramine, The serum concentration of Lofepramine can be increased when it is combined with Prochlorperazine.]
[A07DA03, loperamide, The risk or severity of QTc prolongation can be increased when Prochlorperazine is combined with Loperamide.]
[N05BA06, lorazepam, The risk or severity of adverse effects can be increased when Lorazepam is combined with Prochlorperazine.]
[C10AA02, lovastatin, The metabolism of Prochlorperazine can be decreased when combined with Lovastatin.]
[N05AH01, loxapine, The risk or severity of adverse effects can be increased when Loxapine is combined with Prochlorperazine.]
[L01EG01, temsirolimus, The metabolism of Prochlorperazine can be decreased when combined with Temsirolimus.]
[G04BX01, magnesium hydroxide, Magnesium hydroxide can cause a decrease in the absorption of Prochlorperazine resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[A12CC10, magnesium oxide, Magnesium oxide can cause a decrease in the absorption of Prochlorperazine resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[V04CC02, magnesium sulfate, The therapeutic efficacy of Prochlorperazine can be increased when used in combination with Magnesium sulfate.]
[L01EA03, nilotinib, The metabolism of Prochlorperazine can be decreased when combined with Nilotinib.]
[N06AA21, maprotiline, Prochlorperazine may increase the central nervous system depressant (CNS depressant) activities of Maprotiline.]
[A08AA05, mazindol, The risk or severity of adverse effects can be increased when Mazindol is combined with Prochlorperazine.]
[R06AE05, meclizine, The risk or severity of adverse effects can be increased when Prochlorperazine is combined with Meclizine.]
[N05BA03, medazepam, The risk or severity of adverse effects can be increased when Prochlorperazine is combined with Medazepam.]
[P01BC02, mefloquine, The risk or severity of QTc prolongation can be increased when Mefloquine is combined with Prochlorperazine.]
[N05CH01, melatonin, The risk or severity of adverse effects can be increased when Prochlorperazine is combined with Melatonin.]
[N06DX01, memantine, The therapeutic efficacy of Memantine can be decreased when used in combination with Prochlorperazine.]
[N02AB02, meperidine, The risk or severity of hypotension and CNS depression can be increased when Prochlorperazine is combined with Meperidine.]
[C01CA11, mephentermine, Prochlorperazine may decrease the stimulatory activities of Mephentermine.]
[N03AB04, mephenytoin, The risk or severity of adverse effects can be increased when Prochlorperazine is combined with Mephenytoin.]
[N03AA01, mephobarbital, The risk or severity of adverse effects can be increased when Prochlorperazine is combined with Methylphenobarbital.]
[N01BB03, mepivacaine, The risk or severity of adverse effects can be increased when Prochlorperazine is combined with Mepivacaine.]
[N05BC01, meprobamate, The risk or severity of adverse effects can be increased when Meprobamate is combined with Prochlorperazine.]
[N02AX05, meptazinol, The risk or severity of hypotension and CNS depression can be increased when Prochlorperazine is combined with Meptazinol.]
[N05AC03, mesoridazine, The risk or severity of QTc prolongation can be increased when Prochlorperazine is combined with Mesoridazine.]
[N05AX13, paliperidone, The risk or severity of QTc prolongation can be increased when Prochlorperazine is combined with Paliperidone.]
[A04AA04, dolasetron, The risk or severity of QTc prolongation can be increased when Prochlorperazine is combined with Dolasetron.]
[N07BC02, methadone, The risk or severity of adverse effects can be increased when Methadone is combined with Prochlorperazine.]
[N06BA03, methamphetamine, Prochlorperazine may decrease the stimulatory activities of Metamfetamine.]
[A03AB07, methantheline, Prochlorperazine may increase the central nervous system depressant (CNS depressant) activities of Methantheline.]
[R06AC05, methapyrilene, The risk or severity of adverse effects can be increased when Prochlorperazine is combined with Methapyrilene.]
[N05CM01, methaqualone, The risk or severity of adverse effects can be increased when Prochlorperazine is combined with Methaqualone.]
[N03AA30, metharbital, The risk or severity of adverse effects can be increased when Prochlorperazine is combined with Metharbital.]
[G02CB05, metergoline, The risk or severity of adverse effects can be increased when Prochlorperazine is combined with Metergoline.]
[H03BB02, methimazole, The metabolism of Prochlorperazine can be decreased when combined with Methimazole.]
[M03BA03, methocarbamol, The risk or severity of adverse effects can be increased when Methocarbamol is combined with Prochlorperazine.]
[N05CA15, methohexital, The risk or severity of adverse effects can be increased when Prochlorperazine is combined with Methohexital.]
[N02BG08, ziconotide, The risk or severity of CNS depression can be increased when Prochlorperazine is combined with Ziconotide.]
[N05AA02, methotrimeprazine, Prochlorperazine may increase the central nervous system depressant (CNS depressant) activities of Methotrimeprazine.]
[N02BG09, methoxyflurane, The risk or severity of adverse effects can be increased when Prochlorperazine is combined with Methoxyflurane.]
[V04CG05, methylene blue, The risk or severity of extrapyramidal symptoms can be increased when Methylene blue is combined with Prochlorperazine.]
[N06BA04, methylphenidate, The risk or severity of adverse effects can be increased when Prochlorperazine is combined with Methylphenidate.]
[N03AF03, rufinamide, The risk or severity of adverse effects can be increased when Rufinamide is combined with Prochlorperazine.]
[N05CE02, methyprylon, The risk or severity of adverse effects can be increased when Prochlorperazine is combined with Methyprylon.]
[N02CA04, methysergide, The risk or severity of adverse effects can be increased when Methysergide is combined with Prochlorperazine.]
[A03FA01, metoclopramide, The risk or severity of adverse effects can be increased when Metoclopramide is combined with Prochlorperazine.]
[C07AB02, metoprolol, The metabolism of Prochlorperazine can be decreased when combined with Metoprolol.]
[P01AB01, metronidazole, The risk or severity of QTc prolongation can be increased when Metronidazole is combined with Prochlorperazine.]
[C01BB02, mexiletine, The metabolism of Prochlorperazine can be decreased when combined with Mexiletine.]
[N06AX03, mianserin, The risk or severity of adverse effects can be increased when Mianserin is combined with Prochlorperazine.]
[S02AA13, miconazole, The metabolism of Prochlorperazine can be decreased when combined with Miconazole.]
[N02BB03, aminopyrine, The metabolism of Aminophenazone can be decreased when combined with Prochlorperazine.]
[N05CD08, midazolam, The risk or severity of adverse effects can be increased when Prochlorperazine is combined with Midazolam.]
[G03XB01, mifepristone, The risk or severity of QTc prolongation can be increased when Prochlorperazine is combined with Mifepristone.]
[J01AA08, minocycline, Minocycline may increase the central nervous system depressant (CNS depressant) activities of Prochlorperazine.]
[L01XX23, mitotane, The metabolism of Prochlorperazine can be increased when combined with Mitotane.]
[N06BA12, lisdexamfetamine, Prochlorperazine may decrease the stimulatory activities of Lisdexamfetamine.]
[N05AE02, molindone, The risk or severity of adverse effects can be increased when Prochlorperazine is combined with Molindone.]
[C01BD01, amiodarone, The metabolism of Prochlorperazine can be decreased when combined with Amiodarone.]
[N06AA09, amitriptyline, The serum concentration of Amitriptyline can be increased when it is combined with Prochlorperazine.]
[N02AA01, morphine, The risk or severity of hypotension and CNS depression can be increased when Prochlorperazine is combined with Morphine.]
[A04AA05, palonosetron, The risk or severity of adverse effects can be increased when Palonosetron is combined with Prochlorperazine.]
[L04AB05, certolizumab pegol, The metabolism of Prochlorperazine can be increased when combined with Certolizumab pegol.]
[L01EX03, pazopanib, The risk or severity of QTc prolongation can be increased when Prochlorperazine is combined with Pazopanib.]
[M03AC03, vecuronium, The risk or severity of adverse effects can be increased when Prochlorperazine is combined with Vecuronium.]
[N05CA02, amobarbital, The risk or severity of adverse effects can be increased when Prochlorperazine is combined with Amobarbital.]
[P01BA06, amodiaquine, The risk or severity of QTc prolongation can be increased when Amodiaquine is combined with Prochlorperazine.]
[R03BB01, ipratropium bromide, Prochlorperazine may increase the central nervous system depressant (CNS depressant) activities of Ipratropium.]
[N06AA17, amoxapine, The serum concentration of Amoxapine can be increased when it is combined with Prochlorperazine.]
[N03AB05, fosphenytoin, The serum concentration of Fosphenytoin can be increased when it is combined with Prochlorperazine.]
[C07AA12, nadolol, The serum concentration of Nadolol can be increased when it is combined with Prochlorperazine.]
[N04BC04, ropinirole, The therapeutic efficacy of Ropinirole can be decreased when used in combination with Prochlorperazine.]
[C04AX21, nafronyl, The risk or severity of adverse effects can be increased when Prochlorperazine is combined with Naftidrofuryl.]
[N02AF02, nalbuphine, The risk or severity of hypotension and CNS depression can be increased when Prochlorperazine is combined with Nalbuphine.]
[V03AB15, naloxone, The metabolism of Prochlorperazine can be decreased when combined with Naloxone.]
[N07BB04, naltrexone, The risk or severity of hypotension and CNS depression can be increased when Prochlorperazine is combined with Naltrexone.]
[L04AC03, anakinra, The metabolism of Prochlorperazine can be increased when combined with Anakinra.]
[N06BA01, amphetamine, Prochlorperazine may decrease the stimulatory activities of Amphetamine.]
[N06AX21, duloxetine, The metabolism of Prochlorperazine can be decreased when combined with Duloxetine.]
[N04BX01, tolcapone, The therapeutic efficacy of Tolcapone can be decreased when used in combination with Prochlorperazine.]
[S03AA01, neomycin, Prochlorperazine may increase the neurotoxic activities of Neomycin.]
[N01AH06, remifentanil, The risk or severity of hypotension and CNS depression can be increased when Prochlorperazine is combined with Remifentanil.]
[C01CX08, levosimendan, The risk or severity of QTc prolongation can be increased when Prochlorperazine is combined with Levosimendan.]
[N05AX14, iloperidone, The risk or severity of QTc prolongation can be increased when Prochlorperazine is combined with Iloperidone.]
[N06AX23, desvenlafaxine, The risk or severity of adverse effects can be increased when Prochlorperazine is combined with Desvenlafaxine.]
[C10AD02, niacin, The metabolism of Prochlorperazine can be decreased when combined with Niacin.]
[N06AF02, nialamide, The risk or severity of extrapyramidal symptoms can be increased when Nialamide is combined with Prochlorperazine.]
[C08CA04, nicardipine, The metabolism of Prochlorperazine can be decreased when combined with Nicardipine.]
[C04AE02, nicergoline, The metabolism of Nicergoline can be decreased when combined with Prochlorperazine.]
[C08CA05, nifedipine, The risk or severity of QTc prolongation can be increased when Prochlorperazine is combined with Nifedipine.]
[C08CA06, nimodipine, The risk or severity of QTc prolongation can be increased when Nimodipine is combined with Prochlorperazine.]
[N05CD02, nitrazepam, The risk or severity of adverse effects can be increased when Prochlorperazine is combined with Nitrazepam.]
[C08CA08, nitrendipine, The risk or severity of QTc prolongation can be increased when Nitrendipine is combined with Prochlorperazine.]
[N05CF03, zaleplon, The risk or severity of adverse effects can be increased when Prochlorperazine is combined with Zaleplon.]
[N04BC05, pramipexole, The therapeutic efficacy of Pramipexole can be decreased when used in combination with Prochlorperazine.]
[N01AX13, nitrous oxide, The risk or severity of adverse effects can be increased when Prochlorperazine is combined with Nitrous oxide.]
[N06AX04, nomifensine, The risk or severity of adverse effects can be increased when Prochlorperazine is combined with Nomifensine.]
[S01AE02, norfloxacin, The risk or severity of QTc prolongation can be increased when Norfloxacin is combined with Prochlorperazine.]
[N06AA10, nortriptyline, The serum concentration of Nortriptyline can be increased when it is combined with Prochlorperazine.]
[H01CB02, octreotide, The risk or severity of QTc prolongation can be increased when Octreotide is combined with Prochlorperazine.]
[S02AA16, ofloxacin, The risk or severity of QTc prolongation can be increased when Prochlorperazine is combined with Ofloxacin.]
[L04AC04, rilonacept, The metabolism of Prochlorperazine can be increased when combined with Rilonacept.]
[A02BC01, omeprazole, The metabolism of Prochlorperazine can be decreased when combined with Omeprazole.]
[N06AA05, opipramol, The serum concentration of Opipramol can be increased when it is combined with Prochlorperazine.]
[N02AA02, opium, The risk or severity of hypotension and CNS depression can be increased when Prochlorperazine is combined with Opium.]
[G02CB04, quinagolide, The therapeutic efficacy of Quinagolide can be decreased when used in combination with Prochlorperazine.]
[G04CA02, tamsulosin, The metabolism of Tamsulosin can be decreased when combined with Prochlorperazine.]
[P02BA02, oxamniquine, The metabolism of Prochlorperazine can be decreased when combined with Oxamniquine.]
[N05BA04, oxazepam, The risk or severity of adverse effects can be increased when Prochlorperazine is combined with Oxazepam.]
[J01MB05, oxolinic acid, The risk or severity of QTc prolongation can be increased when Oxolinic acid is combined with Prochlorperazine.]
[C07AA02, oxprenolol, The serum concentration of Oxprenolol can be increased when it is combined with Prochlorperazine.]
[N02AA05, oxycodone, The risk or severity of hypotension and CNS depression can be increased when Prochlorperazine is combined with Oxycodone.]
[N02AA11, oxymorphone, The risk or severity of hypotension and CNS depression can be increased when Prochlorperazine is combined with Oxymorphone.]
[N05AE01, oxypertine, The risk or severity of adverse effects can be increased when Prochlorperazine is combined with Oxypertine.]
[A03AB03, oxyphenonium, Prochlorperazine may increase the central nervous system depressant (CNS depressant) activities of Oxyphenonium.]
[H01BB02, oxytocin, The risk or severity of QTc prolongation can be increased when Oxytocin is combined with Prochlorperazine.]
[N05AH05, asenapine, The risk or severity of QTc prolongation can be increased when Prochlorperazine is combined with Asenapine.]
[N02AX06, tapentadol, Tapentadol may increase the central nervous system depressant (CNS depressant) activities of Prochlorperazine.]
[M03AC01, pancuronium, Prochlorperazine may increase the central nervous system depressant (CNS depressant) activities of Pancuronium.]
[G04BE02, papaverine, The risk or severity of QTc prolongation can be increased when Prochlorperazine is combined with Papaverine.]
[N05CC05, paraldehyde, Prochlorperazine may increase the central nervous system depressant (CNS depressant) activities of Paraldehyde.]
[C02KC01, pargyline, The risk or severity of extrapyramidal symptoms can be increased when Pargyline is combined with Prochlorperazine.]
[J01MA03, pefloxacin, The risk or severity of QTc prolongation can be increased when Pefloxacin is combined with Prochlorperazine.]
[G04BD11, fesoterodine, Prochlorperazine may increase the central nervous system depressant (CNS depressant) activities of Fesoterodine.]
[C07AA23, penbutolol, The serum concentration of Penbutolol can be increased when it is combined with Prochlorperazine.]
[N05AG03, penfluridol, The risk or severity of QTc prolongation can be increased when Prochlorperazine is combined with Penfluridol.]
[N02AD01, pentazocine, The risk or severity of hypotension and CNS depression can be increased when Prochlorperazine is combined with Pentazocine.]
[N05CA01, pentobarbital, The metabolism of Prochlorperazine can be increased when combined with Pentobarbital.]
[N05AB10, perazine, The risk or severity of adverse effects can be increased when Prochlorperazine is combined with Perazine.]
[N04BC02, pergolide, The therapeutic efficacy of Pergolide can be decreased when used in combination with Prochlorperazine.]
[C08EX02, perhexiline, The metabolism of Prochlorperazine can be decreased when combined with Perhexiline.]
[N05AB03, perphenazine, The risk or severity of adverse effects can be increased when Prochlorperazine is combined with Perphenazine.]
