[S02DA03, antipyrine, The metabolism of Antipyrine can be increased when combined with Phenylephrine.]
[N01AH06, remifentanil, The risk or severity of hypertension can be increased when Phenylephrine is combined with Remifentanil.]
[N05AX14, iloperidone, The therapeutic efficacy of Phenylephrine can be decreased when used in combination with Iloperidone.]
[N06AX23, desvenlafaxine, Desvenlafaxine may increase the tachycardic activities of Phenylephrine.]
[C09CA07, telmisartan, Phenylephrine may decrease the antihypertensive activities of Telmisartan.]
[N06AF02, nialamide, Nialamide may increase the hypertensive activities of Phenylephrine.]
[C08CA04, nicardipine, The risk or severity of hypertension can be decreased when Nicardipine is combined with Phenylephrine.]
[C04AE02, nicergoline, Nicergoline may increase the hypertensive and vasoconstricting activities of Phenylephrine.]
[N07BA01, nicotine, The metabolism of Phenylephrine can be decreased when combined with Nicotine.]
[C08CA05, nifedipine, The risk or severity of hypertension can be decreased when Nifedipine is combined with Phenylephrine.]
[M02AA17, niflumic acid, The risk or severity of hypertension can be increased when Phenylephrine is combined with Niflumic acid.]
[C08CA06, nimodipine, The risk or severity of hypertension can be decreased when Nimodipine is combined with Phenylephrine.]
[C08CA07, nisoldipine, The risk or severity of hypertension can be decreased when Nisoldipine is combined with Phenylephrine.]
[N05CD02, nitrazepam, The risk or severity of hypertension can be decreased when Nitrazepam is combined with Phenylephrine.]
[C08CA08, nitrendipine, The risk or severity of hypertension can be decreased when Nitrendipine is combined with Phenylephrine.]
[C02DD01, nitroprusside, Phenylephrine may decrease the antihypertensive activities of Nitroprusside.]
[N01AX13, nitrous oxide, The risk or severity of hypertension can be increased when Phenylephrine is combined with Nitrous oxide.]
[C01CA03, norepinephrine, The therapeutic efficacy of Phenylephrine can be increased when used in combination with Norepinephrine.]
[C02KX01, bosentan, Phenylephrine may decrease the antihypertensive activities of Bosentan.]
[N06AA10, nortriptyline, Nortriptyline may increase the vasopressor activities of Phenylephrine.]
[G02CA02, nylidrin, The risk or severity of hypertension can be decreased when Nylidrin is combined with Phenylephrine.]
[N06AA05, opipramol, Opipramol may increase the vasopressor activities of Phenylephrine.]
[R03CB03, metaproterenol, The risk or severity of hypertension can be increased when Phenylephrine is combined with Orciprenaline.]
[G04CA02, tamsulosin, The therapeutic efficacy of Phenylephrine can be decreased when used in combination with Tamsulosin.]
[N05BA04, oxazepam, The risk or severity of hypertension can be decreased when Oxazepam is combined with Phenylephrine.]
[C07AA02, oxprenolol, The therapeutic efficacy of Phenylephrine can be decreased when used in combination with Oxprenolol.]
[C01DX03, oxyfedrine, The risk or severity of hypertension can be increased when Phenylephrine is combined with Oxyfedrine.]
[S01GA04, oxymetazoline, The absorption of Phenylephrine can be decreased when combined with Oxymetazoline.]
[S01BC02, oxyphenbutazone, The risk or severity of hypertension can be increased when Phenylephrine is combined with Oxyphenbutazone.]
[A03AB03, oxyphenonium, The risk or severity of Tachycardia can be increased when Oxyphenonium is combined with Phenylephrine.]
[H01BB02, oxytocin, The risk or severity of hypertension can be increased when Oxytocin is combined with Phenylephrine.]
[N05AH05, asenapine, The therapeutic efficacy of Phenylephrine can be decreased when used in combination with Asenapine.]
[M03AC01, pancuronium, The risk or severity of Tachycardia can be increased when Phenylephrine is combined with Pancuronium.]
[H02AB05, paramethasone, The risk or severity of hypertension can be increased when Paramethasone is combined with Phenylephrine.]
[C02KC01, pargyline, Pargyline may increase the hypertensive activities of Phenylephrine.]
[G04BD11, fesoterodine, The risk or severity of Tachycardia can be increased when Phenylephrine is combined with Fesoterodine.]
[C07AA23, penbutolol, The therapeutic efficacy of Phenylephrine can be decreased when used in combination with Penbutolol.]
[N05AG03, penfluridol, The risk or severity of hypertension can be decreased when Penfluridol is combined with Phenylephrine.]
[C04AD03, pentoxifylline, The risk or severity of adverse effects can be increased when Phenylephrine is combined with Pentoxifylline.]
[N04BC02, pergolide, Pergolide may increase the hypertensive and vasoconstricting activities of Phenylephrine.]
[C08EX02, perhexiline, The risk or severity of hypertension can be decreased when Perhexiline is combined with Phenylephrine.]
[N05AB03, perphenazine, The metabolism of Perphenazine can be increased when combined with Phenylephrine.]
[N02BE03, phenacetin, The metabolism of Phenacetin can be increased when combined with Phenylephrine.]
[N06AF03, phenelzine, Phenelzine may increase the hypertensive activities of Phenylephrine.]
[C04AX02, phenoxybenzamine, The therapeutic efficacy of Phenylephrine can be decreased when used in combination with Phenoxybenzamine.]
[A08AA01, phentermine, The metabolism of Phenylephrine can be decreased when combined with Phentermine.]
[V03AB36, phentolamine, The therapeutic efficacy of Phenylephrine can be decreased when used in combination with Phentolamine.]
[M02AA01, phenylbutazone, The risk or severity of hypertension can be increased when Phenylephrine is combined with Phenylbutazone.]
[C08CX01, mibefradil, The risk or severity of hypertension can be decreased when Mibefradil is combined with Phenylephrine.]
[N05AG02, pimozide, The metabolism of Pimozide can be increased when combined with Phenylephrine.]
[C07AA03, pindolol, The therapeutic efficacy of Phenylephrine can be decreased when used in combination with Pindolol.]
[C09CA02, eprosartan, Phenylephrine may decrease the antihypertensive activities of Eprosartan.]
[A02BX03, pirenzepine, The risk or severity of Tachycardia can be increased when Phenylephrine is combined with Pirenzepine.]
[S01BC06, piroxicam, The risk or severity of hypertension can be increased when Phenylephrine is combined with Piroxicam.]
[J01MA11, grepafloxacin, The metabolism of Grepafloxacin can be increased when combined with Phenylephrine.]
[N02CX01, pizotyline, The therapeutic efficacy of Phenylephrine can be decreased when used in combination with Pizotifen.]
[C09CA04, irbesartan, Phenylephrine may decrease the antihypertensive activities of Irbesartan.]
[A03AE01, alosetron, The metabolism of Alosetron can be increased when combined with Phenylephrine.]
[C03AA05, polythiazide, Phenylephrine may decrease the antihypertensive activities of Polythiazide.]
[V03AB21, potassium iodide, The risk or severity of adverse effects can be increased when Phenylephrine is combined with Potassium Iodide.]
[C07AB01, practolol, The therapeutic efficacy of Phenylephrine can be decreased when used in combination with Practolol.]
[N05BA11, prazepam, The risk or severity of hypertension can be decreased when Prazepam is combined with Phenylephrine.]
[P02BA01, praziquantel, The metabolism of Praziquantel can be increased when combined with Phenylephrine.]
[C02CA01, prazosin, The therapeutic efficacy of Phenylephrine can be decreased when used in combination with Prazosin.]
[S03BA02, prednisolone, The risk or severity of hypertension can be increased when Prednisolone is combined with Phenylephrine.]
[H02AB07, prednisone, The risk or severity of hypertension can be increased when Prednisone is combined with Phenylephrine.]
[C01DX02, prenylamine, The risk or severity of hypertension can be decreased when Prenylamine is combined with Phenylephrine.]
[P01BA03, primaquine, The metabolism of Primaquine can be increased when combined with Phenylephrine.]
[S01HA05, procaine, Procaine may increase the hypertensive activities of Phenylephrine.]
[L01XB01, procarbazine, Procarbazine may increase the hypertensive activities of Phenylephrine.]
[N04AA04, procyclidine, The risk or severity of Tachycardia can be increased when Procyclidine is combined with Phenylephrine.]
[N05AA03, promazine, The therapeutic efficacy of Phenylephrine can be decreased when used in combination with Promazine.]
[C01BC03, propafenone, The therapeutic efficacy of Phenylephrine can be decreased when used in combination with Propafenone.]
[A03AB05, propantheline, The risk or severity of Tachycardia can be increased when Phenylephrine is combined with Propantheline.]
[N05AC01, periciazine, The therapeutic efficacy of Phenylephrine can be decreased when used in combination with Periciazine.]
[N05CM06, propiomazine, The therapeutic efficacy of Phenylephrine can be decreased when used in combination with Propiomazine.]
[N01AX10, propofol, The risk or severity of hypertension can be increased when Phenylephrine is combined with Propofol.]
[C07AA05, propranolol, The therapeutic efficacy of Phenylephrine can be decreased when used in combination with Propranolol.]
[H03BA02, propylthiouracil, The risk or severity of adverse effects can be increased when Phenylephrine is combined with Propylthiouracil.]
[N02CC04, rizatriptan, The risk or severity of hypertension can be increased when Phenylephrine is combined with Rizatriptan.]
[B01AC09, epoprostenol, Phenylephrine may decrease the antihypertensive activities of Epoprostenol.]
[N06AA11, protriptyline, Protriptyline may increase the vasopressor activities of Phenylephrine.]
[R01BA02, pseudoephedrine, The metabolism of Phenylephrine can be decreased when combined with Pseudoephedrine.]
[N05AX12, aripiprazole, The therapeutic efficacy of Phenylephrine can be decreased when used in combination with Aripiprazole.]
[A03AB15, diphemanil, The risk or severity of Tachycardia can be increased when Phenylephrine is combined with Diphemanil.]
[A03AB09, isopropamide, The risk or severity of Tachycardia can be increased when Phenylephrine is combined with Isopropamide.]
[S01FA03, methscopolamine, The risk or severity of Tachycardia can be increased when Phenylephrine is combined with Methscopolamine.]
[C01BA01, quinidine, The therapeutic efficacy of Phenylephrine can be decreased when used in combination with Quinidine.]
[P01BC01, quinine, The metabolism of Quinine can be increased when combined with Phenylephrine.]
[D07AC10, diflorasone, The risk or severity of hypertension can be increased when Diflorasone is combined with Phenylephrine.]
[A02BA02, ranitidine, The metabolism of Ranitidine can be increased when combined with Phenylephrine.]
[C02AA01, rescinnamine, Phenylephrine may decrease the antihypertensive activities of Rescinnamine.]
[C02AA02, reserpine, Phenylephrine may decrease the antihypertensive activities of Reserpine.]
[R03AC05, rimiterol, The risk or severity of hypertension can be increased when Phenylephrine is combined with Rimiterol.]
[G02CA01, ritodrine, The risk or severity of hypertension can be increased when Phenylephrine is combined with Ritodrine.]
[N02BA05, salicylamide, The risk or severity of hypertension can be increased when Phenylephrine is combined with Salicylamide.]
[A07EC01, sulfasalazine, The risk or severity of hypertension can be increased when Phenylephrine is combined with Sulfasalazine.]
[S01FA02, scopolamine, The risk or severity of Tachycardia can be increased when Phenylephrine is combined with Scopolamine.]
[N04BD01, selegiline, Selegiline may increase the hypertensive activities of Phenylephrine.]
[C07AA07, sotalol, The therapeutic efficacy of Phenylephrine can be decreased when used in combination with Sotalol.]
[C03DA01, spironolactone, The therapeutic efficacy of Phenylephrine can be decreased when used in combination with Spironolactone.]
