[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Oxycodone.]
[N03AA04, barbexaclone, The risk or severity of adverse effects can be increased when Oxycodone is combined with Barbexaclone.]
[N06AX08, bifemelane, The risk or severity of adverse effects can be increased when Oxycodone is combined with Bifemelane.]
[L01EA02, dasatinib, The metabolism of Dasatinib can be decreased when combined with Oxycodone.]
[N04BC06, cabergoline, The risk or severity of adverse effects can be increased when Cabergoline is combined with Oxycodone.]
[N03AD03, methsuximide, The risk or severity of adverse effects can be increased when Oxycodone is combined with Methsuximide.]
[N01AH02, alfentanil, The risk or severity of adverse effects can be increased when Oxycodone is combined with Alfentanil.]
[L01EH01, lapatinib, The metabolism of Lapatinib can be decreased when combined with Oxycodone.]
[A06AH02, alvimopan, The risk or severity of adverse effects can be increased when Oxycodone is combined with Alvimopan.]
[A10BB01, glyburide, The metabolism of Glyburide can be decreased when combined with Oxycodone.]
[N05CM18, dexmedetomidine, The risk or severity of adverse effects can be increased when Oxycodone is combined with Dexmedetomidine.]
[N05CE01, glutethimide, The risk or severity of adverse effects can be increased when Oxycodone is combined with Glutethimide.]
[A06AX01, glycerin, The therapeutic efficacy of Glycerin can be decreased when used in combination with Oxycodone.]
[C02CA04, doxazosin, The metabolism of Doxazosin can be decreased when combined with Oxycodone.]
[L01EX02, sorafenib, The metabolism of Sorafenib can be decreased when combined with Oxycodone.]
[C07AB09, esmolol, The metabolism of Oxycodone can be decreased when combined with Esmolol.]
[P01BX01, halofantrine, The metabolism of Oxycodone can be decreased when combined with Halofantrine.]
[N05AD01, haloperidol, The risk or severity of CNS depression can be increased when Haloperidol is combined with Oxycodone.]
[N01AB01, halothane, The risk or severity of adverse effects can be increased when Oxycodone is combined with Halothane.]
[N05AH04, quetiapine, The risk or severity of adverse effects can be increased when Quetiapine is combined with Oxycodone.]
[N02CX03, iprazochrome, The risk or severity of adverse effects can be increased when Oxycodone is combined with Iprazochrome.]
[L01CE02, irinotecan, The metabolism of Irinotecan can be decreased when combined with Oxycodone.]
[N05CA21, allobarbital, The risk or severity of adverse effects can be increased when Oxycodone is combined with Allobarbital.]
[B05CB03, magnesium citrate, The therapeutic efficacy of Magnesium citrate can be decreased when used in combination with Oxycodone.]
[A12CD02, sodium monofluorophosphate, The therapeutic efficacy of Sodium fluorophosphate can be decreased when used in combination with Oxycodone.]
[N05CA16, hexobarbital, The risk or severity of adverse effects can be increased when Hexobarbital is combined with Oxycodone.]
[J05AG01, nevirapine, The metabolism of Oxycodone can be decreased when combined with Nevirapine.]
[C08CA10, nilvadipine, The metabolism of Oxycodone can be decreased when combined with Nilvadipine.]
[C03AA03, hydrochlorothiazide, The therapeutic efficacy of Hydrochlorothiazide can be decreased when used in combination with Oxycodone.]
[R05DA03, hydrocodone, Oxycodone may increase the central nervous system depressant (CNS depressant) activities of Hydrocodone.]
[S02BA01, hydrocortisone, The metabolism of Hydrocortisone can be decreased when combined with Oxycodone.]
[D07AB02, hydrocortisone butyrate, The metabolism of Hydrocortisone butyrate can be decreased when combined with Oxycodone.]
[C03AA02, hydroflumethiazide, The therapeutic efficacy of Hydroflumethiazide can be decreased when used in combination with Oxycodone.]
[A12BA02, potassium citrate, The therapeutic efficacy of Potassium citrate can be decreased when used in combination with Oxycodone.]
[G04BD06, propiverine, The risk or severity of adverse effects can be increased when Propiverine is combined with Oxycodone.]
[P01BA02, hydroxychloroquine, The metabolism of Oxycodone can be decreased when combined with Hydroxychloroquine.]
[N05AX07, prothipendyl, The risk or severity of adverse effects can be increased when Oxycodone is combined with Prothipendyl.]
[N05BB01, hydroxyzine, Hydroxyzine may increase the central nervous system depressant (CNS depressant) activities of Oxycodone.]
[L01DB06, idarubicin, The metabolism of Idarubicin can be decreased when combined with Oxycodone.]
[A06AD21, sodium tartrate, The therapeutic efficacy of Sodium tartrate can be decreased when used in combination with Oxycodone.]
[L01AA06, ifosfamide, The metabolism of Ifosfamide can be decreased when combined with Oxycodone.]
[N01AH03, sufentanil, The risk or severity of adverse effects can be increased when Oxycodone is combined with Sufentanil.]
[N06AA02, imipramine, The risk or severity of adverse effects can be increased when Imipramine is combined with Oxycodone.]
[L01CD01, paclitaxel, The metabolism of Paclitaxel can be decreased when combined with Oxycodone.]
[M03BX02, tizanidine, The risk or severity of adverse effects can be increased when Oxycodone is combined with Tizanidine.]
[C03BA11, indapamide, The therapeutic efficacy of Indapamide can be decreased when used in combination with Oxycodone.]
[N06AX17, milnacipran, The risk or severity of serotonin syndrome can be increased when Oxycodone is combined with Milnacipran.]
[A03AA30, piperidolate, The risk or severity of adverse effects can be increased when Piperidolate is combined with Oxycodone.]
[N01BB08, articaine, The risk or severity of adverse effects can be increased when Oxycodone is combined with Articaine.]
[N05BA12, alprazolam, The risk or severity of adverse effects can be increased when Oxycodone is combined with Alprazolam.]
[N05CH02, ramelteon, The risk or severity of adverse effects can be increased when Oxycodone is combined with Ramelteon.]
[R06AE01, buclizine, The risk or severity of adverse effects can be increased when Buclizine is combined with Oxycodone.]
[C10AA06, cerivastatin, The metabolism of Oxycodone can be decreased when combined with Cerivastatin.]
[C07AA01, alprenolol, The risk or severity of adverse effects can be increased when Oxycodone is combined with Alprenolol.]
[C03BA02, quinethazone, The therapeutic efficacy of Quinethazone can be decreased when used in combination with Oxycodone.]
[V03AB01, ipecac, The metabolism of Ipecac can be decreased when combined with Oxycodone.]
[N06AA13, iprindole, The risk or severity of adverse effects can be increased when Oxycodone is combined with Iprindole.]
[N06AF05, iproniazid, Iproniazid may increase the serotonergic and central nervous system depressant (CNS depressant) activities of Oxycodone.]
[N05AA07, chlorproethazine, The risk or severity of hypotension and CNS depression can be increased when Chlorproethazine is combined with Oxycodone.]
[N06AF01, isocarboxazid, Isocarboxazid may increase the serotonergic and central nervous system depressant (CNS depressant) activities of Oxycodone.]
[N01AB06, isoflurane, The risk or severity of adverse effects can be increased when Isoflurane is combined with Oxycodone.]
[N04BX02, entacapone, The risk or severity of adverse effects can be increased when Entacapone is combined with Oxycodone.]
[J04AC01, isoniazid, The metabolism of Oxycodone can be decreased when combined with Isoniazid.]
[N06AX18, reboxetine, The risk or severity of adverse effects can be increased when Reboxetine is combined with Oxycodone.]
[L04AC07, tocilizumab, The metabolism of Oxycodone can be increased when combined with Tocilizumab.]
[N01AX03, ketamine, The risk or severity of adverse effects can be increased when Oxycodone is combined with Ketamine.]
[C02KD01, ketanserin, The risk or severity of adverse effects can be increased when Oxycodone is combined with Ketanserin.]
[H02CA04, levoketoconazole, The metabolism of Oxycodone can be decreased when combined with Levoketoconazole.]
[J02AB02, ketoconazole, The metabolism of Oxycodone can be decreased when combined with Ketoconazole.]
[N05AH03, olanzapine, The risk or severity of adverse effects can be increased when Olanzapine is combined with Oxycodone.]
[L04AA24, abatacept, The metabolism of Oxycodone can be increased when combined with Abatacept.]
[N04BC09, rotigotine, Oxycodone may increase the sedative activities of Rotigotine.]
[C07AG01, labetalol, The metabolism of Oxycodone can be decreased when combined with Labetalol.]
[N04BB01, amantadine, The risk or severity of adverse effects can be increased when Amantadine is combined with Oxycodone.]
[A06AD11, lactulose, The therapeutic efficacy of Lactulose can be decreased when used in combination with Oxycodone.]
[A06AX03, lubiprostone, The therapeutic efficacy of Lubiprostone can be decreased when used in combination with Oxycodone.]
[N03AX18, lacosamide, The risk or severity of adverse effects can be increased when Oxycodone is combined with Lacosamide.]
[C03CC01, ethacrynic acid, The therapeutic efficacy of Etacrynic acid can be decreased when used in combination with Oxycodone.]
[G03AD01, levonorgestrel, The metabolism of Oxycodone can be decreased when combined with Levonorgestrel.]
[N04BA01, levodopa, The risk or severity of adverse effects can be increased when Oxycodone is combined with Levodopa.]
[S02DA01, lidocaine, The risk or severity of adverse effects can be increased when Lidocaine is combined with Oxycodone.]
[N06BA13, armodafinil, The metabolism of Oxycodone can be increased when combined with Armodafinil.]
[C03DB01, amiloride, The therapeutic efficacy of Amiloride can be decreased when used in combination with Oxycodone.]
[N02CA07, lisuride, The risk or severity of adverse effects can be increased when Oxycodone is combined with Lisuride.]
[N06AA07, lofepramine, The risk or severity of adverse effects can be increased when Oxycodone is combined with Lofepramine.]
[N05BA06, lorazepam, The risk or severity of adverse effects can be increased when Oxycodone is combined with Lorazepam.]
[C10AA02, lovastatin, The metabolism of Oxycodone can be decreased when combined with Lovastatin.]
[N05AH01, loxapine, The risk or severity of adverse effects can be increased when Loxapine is combined with Oxycodone.]
[L01EG01, temsirolimus, The metabolism of Temsirolimus can be decreased when combined with Oxycodone.]
[G04BX01, magnesium hydroxide, The therapeutic efficacy of Magnesium hydroxide can be decreased when used in combination with Oxycodone.]
[A12CC10, magnesium oxide, The therapeutic efficacy of Magnesium oxide can be decreased when used in combination with Oxycodone.]
[V04CC02, magnesium sulfate, The therapeutic efficacy of Oxycodone can be increased when used in combination with Magnesium sulfate.]
[L01EA03, nilotinib, The metabolism of Oxycodone can be decreased when combined with Nilotinib.]
[V04CX04, mannitol, The therapeutic efficacy of Mannitol can be decreased when used in combination with Oxycodone.]
[N06AA21, maprotiline, The risk or severity of adverse effects can be increased when Maprotiline is combined with Oxycodone.]
[A08AA05, mazindol, The risk or severity of adverse effects can be increased when Oxycodone is combined with Mazindol.]
[C02BB01, mecamylamine, The risk or severity of adverse effects can be increased when Mecamylamine is combined with Oxycodone.]
[R06AE05, meclizine, The risk or severity of adverse effects can be increased when Meclizine is combined with Oxycodone.]
[N05BA03, medazepam, The risk or severity of adverse effects can be increased when Oxycodone is combined with Medazepam.]
[A06AB07, cascara sagrada, The therapeutic efficacy of Frangula purshiana bark can be decreased when used in combination with Oxycodone.]
[C03BA05, mefruside, The therapeutic efficacy of Mefruside can be decreased when used in combination with Oxycodone.]
[N05CH01, melatonin, The risk or severity of adverse effects can be increased when Oxycodone is combined with Melatonin.]
[N02AB02, meperidine, The risk or severity of adverse effects can be increased when Meperidine is combined with Oxycodone.]
[C01CA11, mephentermine, Mephentermine may increase the analgesic activities of Oxycodone.]
[N03AB04, mephenytoin, The risk or severity of adverse effects can be increased when Oxycodone is combined with Mephenytoin.]
[N03AA01, mephobarbital, The risk or severity of adverse effects can be increased when Methylphenobarbital is combined with Oxycodone.]
[N01BB03, mepivacaine, The risk or severity of adverse effects can be increased when Oxycodone is combined with Mepivacaine.]
[N05BC01, meprobamate, The risk or severity of adverse effects can be increased when Meprobamate is combined with Oxycodone.]
[N02AX05, meptazinol, The risk or severity of adverse effects can be increased when Oxycodone is combined with Meptazinol.]
[C03BC01, mersalyl, The therapeutic efficacy of Mersalyl can be decreased when used in combination with Oxycodone.]
[N05AC03, mesoridazine, The risk or severity of hypotension and CNS depression can be increased when Mesoridazine is combined with Oxycodone.]
[N05AX13, paliperidone, The risk or severity of adverse effects can be increased when Oxycodone is combined with Paliperidone.]
[A04AA04, dolasetron, The risk or severity of adverse effects can be increased when Oxycodone is combined with Dolasetron.]
[N07BC02, methadone, The risk or severity of adverse effects can be increased when Methadone is combined with Oxycodone.]
[N06BA03, methamphetamine, Metamfetamine may increase the analgesic activities of Oxycodone.]
[A03AB07, methantheline, The risk or severity of adverse effects can be increased when Methantheline is combined with Oxycodone.]
[R06AC05, methapyrilene, The risk or severity of adverse effects can be increased when Oxycodone is combined with Methapyrilene.]
[N05CM01, methaqualone, The risk or severity of adverse effects can be increased when Oxycodone is combined with Methaqualone.]
[N03AA30, metharbital, The risk or severity of adverse effects can be increased when Metharbital is combined with Oxycodone.]
[S01EC05, methazolamide, The therapeutic efficacy of Methazolamide can be decreased when used in combination with Oxycodone.]
[G02CB05, metergoline, The risk or severity of adverse effects can be increased when Oxycodone is combined with Metergoline.]
[H03BB02, methimazole, The metabolism of Oxycodone can be decreased when combined with Methimazole.]
[M03BA03, methocarbamol, The risk or severity of adverse effects can be increased when Methocarbamol is combined with Oxycodone.]
[N05CA15, methohexital, The risk or severity of adverse effects can be increased when Methohexital is combined with Oxycodone.]
[N02BG08, ziconotide, The risk or severity of adverse effects can be increased when Oxycodone is combined with Ziconotide.]
[N05AA02, methotrimeprazine, Oxycodone may increase the central nervous system depressant (CNS depressant) activities of Methotrimeprazine.]
[N02BG09, methoxyflurane, The risk or severity of adverse effects can be increased when Oxycodone is combined with Methoxyflurane.]
[C03AA08, methyclothiazide, The therapeutic efficacy of Methyclothiazide can be decreased when used in combination with Oxycodone.]
[A06AC06, methylcellulose, The therapeutic efficacy of Methylcellulose can be decreased when used in combination with Oxycodone.]
[V04CG05, methylene blue, Oxycodone may increase the serotonergic activities of Methylene blue.]
[N03AF03, rufinamide, The risk or severity of adverse effects can be increased when Rufinamide is combined with Oxycodone.]
[N05CE02, methyprylon, The risk or severity of adverse effects can be increased when Oxycodone is combined with Methyprylon.]
[N02CA04, methysergide, The risk or severity of adverse effects can be increased when Methysergide is combined with Oxycodone.]
[A03FA01, metoclopramide, The therapeutic efficacy of Metoclopramide can be decreased when used in combination with Oxycodone.]
[C03BA08, metolazone, The therapeutic efficacy of Metolazone can be decreased when used in combination with Oxycodone.]
[C07AB02, metoprolol, The metabolism of Oxycodone can be decreased when combined with Metoprolol.]
[P01AB01, metronidazole, The metabolism of Metronidazole can be decreased when combined with Oxycodone.]
[C01BB02, mexiletine, The metabolism of Oxycodone can be decreased when combined with Mexiletine.]
[N06AX03, mianserin, The risk or severity of adverse effects can be increased when Oxycodone is combined with Mianserin.]
[S02AA13, miconazole, The metabolism of Oxycodone can be decreased when combined with Miconazole.]
[N02BB03, aminopyrine, The metabolism of Aminophenazone can be decreased when combined with Oxycodone.]
[N05CD08, midazolam, The risk or severity of adverse effects can be increased when Oxycodone is combined with Midazolam.]
[G03XB01, mifepristone, The metabolism of Oxycodone can be decreased when combined with Mifepristone.]
[A06AA01, mineral oil, The therapeutic efficacy of Mineral oil can be decreased when used in combination with Oxycodone.]
[J01AA08, minocycline, Minocycline may increase the central nervous system depressant (CNS depressant) activities of Oxycodone.]
[L01XX23, mitotane, The metabolism of Oxycodone can be increased when combined with Mitotane.]
[N06BA12, lisdexamfetamine, Lisdexamfetamine may increase the analgesic activities of Oxycodone.]
[N05AE02, molindone, The risk or severity of adverse effects can be increased when Oxycodone is combined with Molindone.]
[C01BD01, amiodarone, The metabolism of Oxycodone can be decreased when combined with Amiodarone.]
[N06AA09, amitriptyline, The risk or severity of adverse effects can be increased when Amitriptyline is combined with Oxycodone.]
[N02AA01, morphine, The risk or severity of adverse effects can be increased when Morphine is combined with Oxycodone.]
[A04AA05, palonosetron, The risk or severity of adverse effects can be increased when Palonosetron is combined with Oxycodone.]
[L04AB05, certolizumab pegol, The metabolism of Oxycodone can be increased when combined with Certolizumab pegol.]
[L01EX03, pazopanib, The metabolism of Oxycodone can be decreased when combined with Pazopanib.]
[M03AC03, vecuronium, The risk or severity of adverse effects can be increased when Vecuronium is combined with Oxycodone.]
[N05CA02, amobarbital, The risk or severity of adverse effects can be increased when Amobarbital is combined with Oxycodone.]
[R03BB01, ipratropium bromide, The risk or severity of adverse effects can be increased when Ipratropium is combined with Oxycodone.]
[N06AA17, amoxapine, The risk or severity of adverse effects can be increased when Amoxapine is combined with Oxycodone.]
[N03AB05, fosphenytoin, The metabolism of Oxycodone can be increased when combined with Fosphenytoin.]
[C07AA12, nadolol, The metabolism of Nadolol can be decreased when combined with Oxycodone.]
[N04BC04, ropinirole, Oxycodone may increase the sedative activities of Ropinirole.]
[C04AX21, nafronyl, The risk or severity of adverse effects can be increased when Oxycodone is combined with Naftidrofuryl.]
[N02AF02, nalbuphine, The therapeutic efficacy of Oxycodone can be decreased when used in combination with Nalbuphine.]
[L04AC03, anakinra, The metabolism of Oxycodone can be increased when combined with Anakinra.]
[S01GA01, naphazoline, Naphazoline may increase the central nervous system depressant (CNS depressant) activities of Oxycodone.]
[N06BA01, amphetamine, Amphetamine may increase the analgesic activities of Oxycodone.]
[A10BG01, troglitazone, The metabolism of Oxycodone can be decreased when combined with Troglitazone.]
[N06AX21, duloxetine, The risk or severity of serotonin syndrome can be increased when Oxycodone is combined with Duloxetine.]
[N04BX01, tolcapone, The risk or severity of adverse effects can be increased when Tolcapone is combined with Oxycodone.]
[L01CD02, docetaxel, The metabolism of Docetaxel can be decreased when combined with Oxycodone.]
[N01AH06, remifentanil, The risk or severity of adverse effects can be increased when Oxycodone is combined with Remifentanil.]
[N05AX14, iloperidone, The risk or severity of adverse effects can be increased when Oxycodone is combined with Iloperidone.]
[N06AX23, desvenlafaxine, The risk or severity of serotonin syndrome can be increased when Oxycodone is combined with Desvenlafaxine.]
[C10AD02, niacin, The metabolism of Oxycodone can be decreased when combined with Niacin.]
[N06AF02, nialamide, Nialamide may increase the serotonergic and central nervous system depressant (CNS depressant) activities of Oxycodone.]
[C08CA04, nicardipine, The risk or severity of adverse effects can be increased when Nicardipine is combined with Oxycodone.]
[C04AE02, nicergoline, The metabolism of Nicergoline can be decreased when combined with Oxycodone.]
[C08CA05, nifedipine, The metabolism of Nifedipine can be decreased when combined with Oxycodone.]
[C08CA07, nisoldipine, The metabolism of Oxycodone can be decreased when combined with Nisoldipine.]
[N05CD02, nitrazepam, The risk or severity of adverse effects can be increased when Oxycodone is combined with Nitrazepam.]
[C08CA08, nitrendipine, The metabolism of Nitrendipine can be decreased when combined with Oxycodone.]
[N05CF03, zaleplon, The risk or severity of adverse effects can be increased when Oxycodone is combined with Zaleplon.]
[N04BC05, pramipexole, Oxycodone may increase the sedative activities of Pramipexole.]
[N01AX13, nitrous oxide, The risk or severity of adverse effects can be increased when Oxycodone is combined with Nitrous oxide.]
[N06AX04, nomifensine, The risk or severity of adverse effects can be increased when Oxycodone is combined with Nomifensine.]
[G03DC02, norethindrone, The metabolism of Norethisterone can be decreased when combined with Oxycodone.]
[N06AA10, nortriptyline, The risk or severity of adverse effects can be increased when Nortriptyline is combined with Oxycodone.]
[L04AC04, rilonacept, The metabolism of Oxycodone can be increased when combined with Rilonacept.]
[A02BC01, omeprazole, The metabolism of Oxycodone can be decreased when combined with Omeprazole.]
[N06AA05, opipramol, The risk or severity of adverse effects can be increased when Oxycodone is combined with Opipramol.]
[N02AA02, opium, The risk or severity of adverse effects can be increased when Oxycodone is combined with Opium.]
[G04CA02, tamsulosin, The metabolism of Tamsulosin can be decreased when combined with Oxycodone.]
[P02BA02, oxamniquine, The metabolism of Oxycodone can be decreased when combined with Oxamniquine.]
[N05BA04, oxazepam, The risk or severity of adverse effects can be increased when Oxycodone is combined with Oxazepam.]
[C07AA02, oxprenolol, The risk or severity of adverse effects can be increased when Oxycodone is combined with Oxprenolol.]
[N07XX04, sodium oxybate, Oxycodone may increase the central nervous system depressant (CNS depressant) activities of Sodium oxybate.]
[N02AA11, oxymorphone, The risk or severity of adverse effects can be increased when Oxycodone is combined with Oxymorphone.]
[N05AE01, oxypertine, The risk or severity of adverse effects can be increased when Oxycodone is combined with Oxypertine.]
[A03AB03, oxyphenonium, The risk or severity of adverse effects can be increased when Oxyphenonium is combined with Oxycodone.]
[N05AH05, asenapine, The risk or severity of adverse effects can be increased when Oxycodone is combined with Asenapine.]
[N02AX06, tapentadol, Tapentadol may increase the central nervous system depressant (CNS depressant) activities of Oxycodone.]
[M03AC01, pancuronium, The risk or severity of adverse effects can be increased when Pancuronium is combined with Oxycodone.]
[N05CC05, paraldehyde, Oxycodone may increase the central nervous system depressant (CNS depressant) activities of Paraldehyde.]
[H02AB05, paramethasone, The metabolism of Oxycodone can be increased when combined with Paramethasone.]
[C02KC01, pargyline, Pargyline may increase the serotonergic and central nervous system depressant (CNS depressant) activities of Oxycodone.]
[G04BD11, fesoterodine, The risk or severity of adverse effects can be increased when Fesoterodine is combined with Oxycodone.]
[C07AA23, penbutolol, The risk or severity of adverse effects can be increased when Oxycodone is combined with Penbutolol.]
[N05AG03, penfluridol, The risk or severity of adverse effects can be increased when Oxycodone is combined with Penfluridol.]
[N02AD01, pentazocine, The therapeutic efficacy of Oxycodone can be decreased when used in combination with Pentazocine.]
[N05CA01, pentobarbital, The risk or severity of adverse effects can be increased when Pentobarbital is combined with Oxycodone.]
[N05AB10, perazine, The risk or severity of hypotension and CNS depression can be increased when Perazine is combined with Oxycodone.]
[N04BC02, pergolide, The risk or severity of adverse effects can be increased when Oxycodone is combined with Pergolide.]
[C08EX02, perhexiline, The metabolism of Oxycodone can be decreased when combined with Perhexiline.]
[N05AB03, perphenazine, The risk or severity of hypotension and CNS depression can be increased when Perphenazine is combined with Oxycodone.]
[N02BE03, phenacetin, The metabolism of Phenacetin can be decreased when combined with Oxycodone.]
[N02AD02, phenazocine, The risk or severity of adverse effects can be increased when Oxycodone is combined with Phenazocine.]
[N06AF03, phenelzine, Phenelzine may increase the serotonergic and central nervous system depressant (CNS depressant) activities of Oxycodone.]
[A10BA01, phenformin, The metabolism of Phenformin can be decreased when combined with Oxycodone.]
[N03AA02, phenobarbital, The risk or severity of adverse effects can be increased when Phenobarbital is combined with Oxycodone.]
[A06AB01, oxyphenisatin, The therapeutic efficacy of Oxyphenisatin can be decreased when used in combination with Oxycodone.]
[N01AH04, phenoperidine, The risk or severity of adverse effects can be increased when Oxycodone is combined with Phenoperidine.]
[A08AA01, phentermine, Phentermine may increase the analgesic activities of Oxycodone.]
[N03AB02, phenytoin, The metabolism of Oxycodone can be increased when combined with Phenytoin.]
[L04AB06, golimumab, The metabolism of Oxycodone can be increased when combined with Golimumab.]
[C08CX01, mibefradil, The metabolism of Oxycodone can be decreased when combined with Mibefradil.]
[N05AG02, pimozide, The metabolism of Pimozide can be decreased when combined with Oxycodone.]
[C07AA03, pindolol, The risk or severity of adverse effects can be increased when Oxycodone is combined with Pindolol.]
[C10AA05, atorvastatin, The metabolism of Atorvastatin can be decreased when combined with Oxycodone.]
[J05AE01, saquinavir, The metabolism of Oxycodone can be decreased when combined with Saquinavir.]
[P02CB01, piperazine, The metabolism of Piperazine can be decreased when combined with Oxycodone.]
[N05AC04, pipothiazine, The risk or severity of hypotension and CNS depression can be increased when Pipotiazine is combined with Oxycodone.]
[A02BX03, pirenzepine, The risk or severity of adverse effects can be increased when Pirenzepine is combined with Oxycodone.]
[N02AC03, pirinitramide, The risk or severity of adverse effects can be increased when Oxycodone is combined with Piritramide.]
[N02CX01, pizotyline, The risk or severity of adverse effects can be increased when Pizotifen is combined with Oxycodone.]
[J05AG02, delavirdine, The metabolism of Oxycodone can be decreased when combined with Delavirdine.]
[N05CA22, proxibarbal, The risk or severity of adverse effects can be increased when Oxycodone is combined with Proxibarbal.]
[A06AD15, polyethylene glycols, The therapeutic efficacy of Polyethylene glycol can be decreased when used in combination with Oxycodone.]
[A03AE01, alosetron, The risk or severity of adverse effects can be increased when Oxycodone is combined with Alosetron.]
[L04AC08, canakinumab, The metabolism of Oxycodone can be increased when combined with Canakinumab.]
[C03AA05, polythiazide, The therapeutic efficacy of Polythiazide can be decreased when used in combination with Oxycodone.]
[J05AE03, ritonavir, The serum concentration of Oxycodone can be increased when it is combined with Ritonavir.]
[A10BH03, saxagliptin, The metabolism of Saxagliptin can be decreased when combined with Oxycodone.]
[C07AB01, practolol, The metabolism of Practolol can be decreased when combined with Oxycodone.]
[N05BA11, prazepam, The risk or severity of adverse effects can be increased when Oxycodone is combined with Prazepam.]
[P02BA01, praziquantel, The metabolism of Praziquantel can be decreased when combined with Oxycodone.]
[N01BB04, prilocaine, The risk or severity of adverse effects can be increased when Oxycodone is combined with Prilocaine.]
[P01BA03, primaquine, The metabolism of Oxycodone can be decreased when combined with Primaquine.]
[N03AA03, primidone, The risk or severity of adverse effects can be increased when Primidone is combined with Oxycodone.]
[C01BA02, procainamide, The metabolism of Procainamide can be decreased when combined with Oxycodone.]
[S01HA05, procaine, Procaine may increase the serotonergic and central nervous system depressant (CNS depressant) activities of Oxycodone.]
[L01XB01, procarbazine, Procarbazine may increase the serotonergic and central nervous system depressant (CNS depressant) activities of Oxycodone.]
[N05AB04, prochlorperazine, The risk or severity of hypotension and CNS depression can be increased when Prochlorperazine is combined with Oxycodone.]
[N04AA04, procyclidine, The risk or severity of adverse effects can be increased when Procyclidine is combined with Oxycodone.]
[G03DA04, progesterone, The metabolism of Oxycodone can be decreased when combined with Progesterone.]
[N05AA03, promazine, The risk or severity of adverse effects can be increased when Promazine is combined with Oxycodone.]
[R06AD02, promethazine, The risk or severity of adverse effects can be increased when Promethazine is combined with Oxycodone.]
[C01BC03, propafenone, The metabolism of Oxycodone can be decreased when combined with Propafenone.]
[N01AX04, propanidid, The risk or severity of adverse effects can be increased when Oxycodone is combined with Propanidid.]
[A03AB05, propantheline, The risk or severity of adverse effects can be increased when Propantheline is combined with Oxycodone.]
[N05AC01, periciazine, The risk or severity of hypotension and CNS depression can be increased when Periciazine is combined with Oxycodone.]
[N05CM06, propiomazine, The risk or severity of adverse effects can be increased when Propiomazine is combined with Oxycodone.]
[L01XH02, romidepsin, The metabolism of Romidepsin can be decreased when combined with Oxycodone.]
[N01AX10, propofol, Oxycodone may increase the sedative activities of Propofol.]
[N02AC04, propoxyphene, The risk or severity of adverse effects can be increased when Oxycodone is combined with Dextropropoxyphene.]
[C07AA05, propranolol, The metabolism of Propranolol can be decreased when combined with Oxycodone.]
[N02CC04, rizatriptan, The risk or severity of adverse effects can be increased when Oxycodone is combined with Rizatriptan.]
[N06AA11, protriptyline, The risk or severity of adverse effects can be increased when Protriptyline is combined with Oxycodone.]
[R01BA02, pseudoephedrine, Pseudoephedrine may increase the analgesic activities of Oxycodone.]
[N05AX12, aripiprazole, The risk or severity of adverse effects can be increased when Aripiprazole is combined with Oxycodone.]
[A03AB15, diphemanil, The risk or severity of adverse effects can be increased when Diphemanil is combined with Oxycodone.]
[A03AB09, isopropamide, The risk or severity of adverse effects can be increased when Isopropamide is combined with Oxycodone.]
[S01FA03, methscopolamine, The risk or severity of adverse effects can be increased when Methscopolamine is combined with Oxycodone.]
[N05CA07, talbutal, The risk or severity of adverse effects can be increased when Talbutal is combined with Oxycodone.]
[N05CA09, vinbarbital, The risk or severity of adverse effects can be increased when Oxycodone is combined with Vinbarbital.]
[N05BB02, captodiamine, The risk or severity of adverse effects can be increased when Oxycodone is combined with Captodiame.]
[M03BA04, styramate, The risk or severity of adverse effects can be increased when Oxycodone is combined with Styramate.]
[P02CC01, pyrantel, The risk or severity of adverse effects can be increased when Oxycodone is combined with Pyrantel.]
[R06AC01, pyrilamine, The risk or severity of adverse effects can be increased when Oxycodone is combined with Mepyramine.]
[P01AX05, quinacrine, The metabolism of Quinacrine can be decreased when combined with Oxycodone.]
[C01BA01, quinidine, The risk or severity of adverse effects can be increased when Quinidine is combined with Oxycodone.]
[P01BC01, quinine, The metabolism of Oxycodone can be decreased when combined with Quinine.]
[A02BA02, ranitidine, The metabolism of Oxycodone can be decreased when combined with Ranitidine.]
[C02AA02, reserpine, The risk or severity of adverse effects can be increased when Reserpine is combined with Oxycodone.]
[J04AB02, rifampin, The metabolism of Oxycodone can be increased when combined with Rifampicin.]
[N06AX01, 5-hydroxytryptophan, The risk or severity of adverse effects can be increased when Oxycodone is combined with Oxitriptan.]
[S01FA02, scopolamine, The risk or severity of adverse effects can be increased when Scopolamine is combined with Oxycodone.]
[N05CA06, secobarbital, The risk or severity of adverse effects can be increased when Secobarbital is combined with Oxycodone.]
[N04BD01, selegiline, Selegiline may increase the serotonergic and central nervous system depressant (CNS depressant) activities of Oxycodone.]
[V04CC01, sorbitol, The therapeutic efficacy of Sorbitol can be decreased when used in combination with Oxycodone.]
[C07AA07, sotalol, The metabolism of Sotalol can be decreased when combined with Oxycodone.]
[L01CD04, cabazitaxel, The metabolism of Cabazitaxel can be decreased when combined with Oxycodone.]
[C03DA01, spironolactone, The therapeutic efficacy of Spironolactone can be decreased when used in combination with Oxycodone.]
