[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Dronabinol.]
[N05CF02, zolpidem, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[N03AX15, zonisamide, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Zonisamide.]
[N05CF01, zopiclone, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Zopiclone.]
[N05AX11, zotepine, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Zotepine.]
[C02AC02, guanfacine, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Guanfacine.]
[C01BG01, moricizine, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Moricizine.]
[G02AB03, ergonovine, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Ergometrine.]
[C04AE01, ergoloid mesylates, USP, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Ergoloid mesylate.]
[N02CA02, ergotamine, The serum concentration of Dronabinol can be increased when it is combined with Ergotamine.]
[N03AG01, valproic acid, The serum concentration of Dronabinol can be increased when it is combined with Valproic acid.]
[S01AA17, erythromycin, The serum concentration of Dronabinol can be increased when it is combined with Erythromycin.]
[N05CD04, estazolam, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Estazolam.]
[A02BC02, pantoprazole, The metabolism of Pantoprazole can be decreased when combined with Dronabinol.]
[H05BX01, cinacalcet, The metabolism of Cinacalcet can be decreased when combined with Dronabinol.]
[G03CA03, estradiol, The metabolism of Estradiol can be decreased when combined with Dronabinol.]
[G03CA57, estrogens, conjugated (USP), The metabolism of Conjugated estrogens can be decreased when combined with Dronabinol.]
[J04AK02, ethambutol, The metabolism of Dronabinol can be decreased when combined with Ethambutol.]
[R03BA09, fluticasone furoate, The serum concentration of Dronabinol can be increased when it is combined with Fluticasone furoate.]
[R03BA05, fluticasone, The serum concentration of Dronabinol can be increased when it is combined with Fluticasone.]
[C10AA04, fluvastatin, The serum concentration of Dronabinol can be increased when it is combined with Fluvastatin.]
[C01CA15, gepefrine, The risk or severity of Tachycardia can be increased when Dronabinol is combined with Gepefrine.]
[N05CM08, ethchlorvynol, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Ethchlorvynol.]
[L02AA03, ethinyl estradiol, The metabolism of Ethinylestradiol can be decreased when combined with Dronabinol.]
[N04AA05, profenamine, The risk or severity of Tachycardia and drowsiness can be increased when Profenamine is combined with Dronabinol.]
[N03AD01, ethosuximide, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Ethosuximide.]
[N03AB01, ethotoin, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Ethotoin.]
[M01AC06, meloxicam, The metabolism of Meloxicam can be decreased when combined with Dronabinol.]
[S01XA06, ethylmorphine, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Ethylmorphine.]
[C01CA01, etilefrine, The risk or severity of Tachycardia can be increased when Dronabinol is combined with Etilefrine.]
[N01AX07, etomidate, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Etomidate.]
[L01CB01, etoposide, The serum concentration of Dronabinol can be increased when it is combined with Etoposide.]
[N05AE03, sertindole, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Sertindole.]
[L04AD02, tacrolimus, The serum concentration of Dronabinol can be increased when it is combined with Tacrolimus.]
[R06AX11, astemizole, The serum concentration of Dronabinol can be increased when it is combined with Astemizole.]
[R06AX12, terfenadine, The serum concentration of Dronabinol can be increased when it is combined with Terfenadine.]
[N06AX12, bupropion, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Bupropion.]
[N06AB08, fluvoxamine, The serum concentration of Dronabinol can be increased when it is combined with Fluvoxamine.]
[C01BB03, tocainide, The metabolism of Tocainide can be decreased when combined with Dronabinol.]
[C01BC08, encainide, The metabolism of Encainide can be decreased when combined with Dronabinol.]
[P02CA03, albendazole, The metabolism of Albendazole can be decreased when combined with Dronabinol.]
[C08CA02, felodipine, The serum concentration of Dronabinol can be increased when it is combined with Felodipine.]
[N03AX26, fenfluramine, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Fenfluramine.]
[R03CC04, fenoterol, The risk or severity of Tachycardia can be increased when Dronabinol is combined with Fenoterol.]
[N02AB03, fentanyl, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Fentanyl.]
[R03CC02, albuterol, The risk or severity of Tachycardia can be increased when Dronabinol is combined with Salbutamol.]
[N07AX03, cevimeline, The metabolism of Cevimeline can be decreased when combined with Dronabinol.]
[G04BD02, flavoxate, The risk or severity of Tachycardia and drowsiness can be increased when Flavoxate is combined with Dronabinol.]
[C01BC04, flecainide, The serum concentration of Dronabinol can be increased when it is combined with Flecainide.]
[J02AC01, fluconazole, The serum concentration of Dronabinol can be increased when it is combined with Fluconazole.]
[N07CA03, flunarizine, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Flunarizine.]
[N05CD03, flunitrazepam, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Flunitrazepam.]
[N06AA14, melitracen, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Melitracen.]
[V03AZ01, ethanol, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Ethanol.]
[L01BC09, floxuridine, The metabolism of Dronabinol can be decreased when combined with Floxuridine.]
[L01BC02, fluorouracil, The serum concentration of Dronabinol can be increased when it is combined with Fluorouracil.]
[N06AB03, fluoxetine, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Fluoxetine.]
[N05AF01, flupenthixol, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Flupentixol.]
[N05AB02, fluphenazine, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Fluphenazine.]
[N05CD01, flurazepam, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Flurazepam.]
[S01BC04, flurbiprofen, The metabolism of Flurbiprofen can be decreased when combined with Dronabinol.]
[N05AG01, fluspirilene, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Fluspirilene.]
[L02BB01, flutamide, The metabolism of Flutamide can be decreased when combined with Dronabinol.]
[L01BC03, tegafur, The metabolism of Tegafur can be decreased when combined with Dronabinol.]
[N06BX17, adrafinil, The risk or severity of Tachycardia can be increased when Dronabinol is combined with Adrafinil.]
[M03AA01, alcuronium, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Alcuronium.]
[G01AX06, furazolidone, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Furazolidone.]
[J05AE10, darunavir, The serum concentration of Dronabinol can be increased when it is combined with Darunavir.]
[N05CF04, eszopiclone, The risk or severity of CNS depression can be increased when Dronabinol is combined with Eszopiclone.]
[N05AL05, amisulpride, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Amisulpride.]
[N06DA04, galantamine, The metabolism of Galantamine can be decreased when combined with Dronabinol.]
[M03AC02, gallamine, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Gallamine.]
[N03AA04, barbexaclone, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Barbexaclone.]
[N06AX08, bifemelane, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Bifemelane.]
[C10AB04, gemfibrozil, The metabolism of Dronabinol can be decreased when combined with Gemfibrozil.]
[L01EA02, dasatinib, The serum concentration of Dronabinol can be increased when it is combined with Dasatinib.]
[N04BC06, cabergoline, The serum concentration of Dronabinol can be increased when it is combined with Cabergoline.]
[C01CA21, cafedrine, The metabolism of Cafedrine can be decreased when combined with Dronabinol.]
[J05AG04, etravirine, The serum concentration of Dronabinol can be increased when it is combined with Etravirine.]
[N03AD03, methsuximide, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Methsuximide.]
[N01AH02, alfentanil, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Alfentanil.]
[L01EH01, lapatinib, The serum concentration of Dronabinol can be increased when it is combined with Lapatinib.]
[A10BB01, glyburide, The serum concentration of Dronabinol can be increased when it is combined with Glyburide.]
[A10BB09, gliclazide, The metabolism of Gliclazide can be decreased when combined with Dronabinol.]
[A10BB07, glipizide, The metabolism of Glipizide can be decreased when combined with Dronabinol.]
[N05CM18, dexmedetomidine, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Dexmedetomidine.]
[N05CE01, glutethimide, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Glutethimide.]
[C02CA04, doxazosin, The metabolism of Doxazosin can be decreased when combined with Dronabinol.]
[L01EX02, sorafenib, The serum concentration of Dronabinol can be increased when it is combined with Sorafenib.]
[C07AB09, esmolol, The metabolism of Esmolol can be decreased when combined with Dronabinol.]
[B01AA12, fluindione, The metabolism of Fluindione can be decreased when combined with Dronabinol.]
[N05AD01, haloperidol, The risk or severity of CNS depression can be increased when Haloperidol is combined with Dronabinol.]
[N01AB01, halothane, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Halothane.]
[N05AH04, quetiapine, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Quetiapine.]
[N02CX03, iprazochrome, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Iprazochrome.]
[L01CE02, irinotecan, The metabolism of Irinotecan can be decreased when combined with Dronabinol.]
[N05CA21, allobarbital, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Allobarbital.]
[C09CA01, losartan, The serum concentration of Dronabinol can be increased when it is combined with Losartan.]
[N05CA16, hexobarbital, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Hexobarbital.]
[R03CC05, hexoprenaline, The risk or severity of Tachycardia can be increased when Dronabinol is combined with Hexoprenaline.]
[J05AG01, nevirapine, The metabolism of Nevirapine can be decreased when combined with Dronabinol.]
[C08CA10, nilvadipine, The serum concentration of Dronabinol can be increased when it is combined with Nilvadipine.]
[C02DB02, hydralazine, The serum concentration of Dronabinol can be increased when it is combined with Hydralazine.]
[R05DA03, hydrocodone, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Hydrocodone.]
[G04BD06, propiverine, The risk or severity of Tachycardia and drowsiness can be increased when Propiverine is combined with Dronabinol.]
[P01BA02, hydroxychloroquine, The metabolism of Hydroxychloroquine can be decreased when combined with Dronabinol.]
[N05AX07, prothipendyl, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Prothipendyl.]
[N05BB01, hydroxyzine, Hydroxyzine may increase the central nervous system depressant (CNS depressant) activities of Dronabinol.]
[C02AC06, rilmenidine, The risk or severity of Tachycardia can be increased when Dronabinol is combined with Rilmenidine.]
[L01DB06, idarubicin, The metabolism of Idarubicin can be decreased when combined with Dronabinol.]
[L01AA06, ifosfamide, The serum concentration of Dronabinol can be increased when it is combined with Ifosfamide.]
[N01AH03, sufentanil, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Sufentanil.]
[N06AA02, imipramine, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Imipramine.]
[M03BX02, tizanidine, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Tizanidine.]
[L01CE01, topotecan, The serum concentration of Dronabinol can be increased when it is combined with Topotecan.]
[S01BC01, indomethacin, The metabolism of Indomethacin can be decreased when combined with Dronabinol.]
[N06AX17, milnacipran, The serum concentration of Dronabinol can be increased when it is combined with Milnacipran.]
[A03AA30, piperidolate, The risk or severity of Tachycardia and drowsiness can be increased when Piperidolate is combined with Dronabinol.]
[N01BB08, articaine, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Articaine.]
[N05BA12, alprazolam, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Alprazolam.]
[N05CH02, ramelteon, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Ramelteon.]
[R06AE01, buclizine, The risk or severity of Tachycardia and drowsiness can be increased when Buclizine is combined with Dronabinol.]
[C10AA06, cerivastatin, The serum concentration of Dronabinol can be increased when it is combined with Cerivastatin.]
[L01XX35, anagrelide, The metabolism of Anagrelide can be decreased when combined with Dronabinol.]
[C07AA01, alprenolol, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Alprenolol.]
[V03AB01, ipecac, The metabolism of Ipecac can be decreased when combined with Dronabinol.]
[N06AA13, iprindole, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Iprindole.]
[N06AF05, iproniazid, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Iproniazid.]
[J05AB13, penciclovir, The metabolism of Penciclovir can be decreased when combined with Dronabinol.]
[N05AA07, chlorproethazine, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Chlorproethazine.]
[N06AF01, isocarboxazid, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Isocarboxazid.]
[P01AX06, atovaquone, The serum concentration of Dronabinol can be increased when it is combined with Atovaquone.]
[R03CC06, isoetharine, The risk or severity of Tachycardia can be increased when Isoetharine is combined with Dronabinol.]
[N01AB06, isoflurane, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Isoflurane.]
[N04BX02, entacapone, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Entacapone.]
[J04AC01, isoniazid, The serum concentration of Dronabinol can be increased when it is combined with Isoniazid.]
[R03CB01, isoproterenol, The risk or severity of Tachycardia can be increased when Dronabinol is combined with Isoprenaline.]
[C04AA01, isoxsuprine, The risk or severity of Tachycardia can be increased when Dronabinol is combined with Isoxsuprine.]
[N06AX18, reboxetine, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Reboxetine.]
[L04AC07, tocilizumab, The metabolism of Dronabinol can be increased when combined with Tocilizumab.]
[N01AX03, ketamine, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Ketamine.]
[C02KD01, ketanserin, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Ketanserin.]
[B01AC22, prasugrel, The metabolism of Prasugrel can be decreased when combined with Dronabinol.]
[J02AB02, ketoconazole, The serum concentration of Dronabinol can be increased when it is combined with Ketoconazole.]
[H02CA04, levoketoconazole, The serum concentration of Dronabinol can be increased when it is combined with Levoketoconazole.]
[N05AH03, olanzapine, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Olanzapine.]
[L04AA24, abatacept, The metabolism of Dronabinol can be increased when combined with Abatacept.]
[C01CA22, arbutamine, The risk or severity of Tachycardia can be increased when Dronabinol is combined with Arbutamine.]
[N04BC09, rotigotine, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Rotigotine.]
[C07AG01, labetalol, The metabolism of Labetalol can be decreased when combined with Dronabinol.]
[N03AX18, lacosamide, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Lacosamide.]
[N04BA01, levodopa, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Levodopa.]
[S02DA01, lidocaine, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Lidocaine.]
[N06BA13, armodafinil, The serum concentration of Dronabinol can be increased when it is combined with Armodafinil.]
[N02CA07, lisuride, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Lisuride.]
[N06AA07, lofepramine, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Lofepramine.]
[N05BA06, lorazepam, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Lorazepam.]
[C10AA02, lovastatin, The serum concentration of Dronabinol can be increased when it is combined with Lovastatin.]
[N05AH01, loxapine, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Loxapine.]
[G03DC03, lynestrenol, The metabolism of Lynestrenol can be decreased when combined with Dronabinol.]
[V04CC02, magnesium sulfate, The therapeutic efficacy of Dronabinol can be increased when used in combination with Magnesium sulfate.]
[L01EA03, nilotinib, The serum concentration of Dronabinol can be increased when it is combined with Nilotinib.]
[N06AA21, maprotiline, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Maprotiline.]
[A08AA05, mazindol, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Mazindol.]
[R06AE05, meclizine, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Meclizine.]
[N05BA03, medazepam, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Medazepam.]
[P01BC02, mefloquine, The serum concentration of Dronabinol can be increased when it is combined with Mefloquine.]
[N05CH01, melatonin, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Melatonin.]
[N02AB02, meperidine, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Meperidine.]
[C01CA11, mephentermine, The risk or severity of Tachycardia can be increased when Dronabinol is combined with Mephentermine.]
[N03AB04, mephenytoin, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Mephenytoin.]
[N03AA01, mephobarbital, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Methylphenobarbital.]
[N01BB03, mepivacaine, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Mepivacaine.]
[N05BC01, meprobamate, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Meprobamate.]
[N02AX05, meptazinol, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Meptazinol.]
[N05AC03, mesoridazine, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Mesoridazine.]
[N05AX13, paliperidone, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Paliperidone.]
[C01CA09, metaraminol, The risk or severity of Tachycardia can be increased when Dronabinol is combined with Metaraminol.]
[A04AA04, dolasetron, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Dolasetron.]
[H01CB03, lanreotide, The serum concentration of Dronabinol can be increased when it is combined with Lanreotide.]
[N07BC02, methadone, The risk or severity of adverse effects can be increased when Methadone is combined with Dronabinol.]
[N06BA03, methamphetamine, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Metamfetamine.]
[A03AB07, methantheline, The risk or severity of Tachycardia and drowsiness can be increased when Methantheline is combined with Dronabinol.]
[R06AC05, methapyrilene, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Methapyrilene.]
[N05CM01, methaqualone, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Methaqualone.]
[N03AA30, metharbital, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Metharbital.]
[G02CB05, metergoline, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Metergoline.]
[H03BB02, methimazole, The serum concentration of Dronabinol can be increased when it is combined with Methimazole.]
[L01BA04, pemetrexed, The metabolism of Pemetrexed can be decreased when combined with Dronabinol.]
[M03BA03, methocarbamol, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Methocarbamol.]
[N05CA15, methohexital, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Methohexital.]
[N02BG08, ziconotide, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Ziconotide.]
[N05AA02, methotrimeprazine, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Methotrimeprazine.]
[C01CA10, methoxamine, The risk or severity of Tachycardia can be increased when Dronabinol is combined with Methoxamine.]
[N02BG09, methoxyflurane, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Methoxyflurane.]
[V04CG05, methylene blue, The serum concentration of Dronabinol can be increased when it is combined with Methylene blue.]
[G02AB01, methylergonovine, The serum concentration of Dronabinol can be increased when it is combined with Methylergometrine.]
[R03DA05, aminophylline, The metabolism of Aminophylline can be decreased when combined with Dronabinol.]
[N03AF03, rufinamide, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Rufinamide.]
[G03EK01, methyltestosterone, The metabolism of Methyltestosterone can be decreased when combined with Dronabinol.]
[N05CE02, methyprylon, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Methyprylon.]
[N02CA04, methysergide, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Methysergide.]
[A03FA01, metoclopramide, The risk or severity of sedation can be increased when Metoclopramide is combined with Dronabinol.]
[C07AB02, metoprolol, The metabolism of Metoprolol can be decreased when combined with Dronabinol.]
[P01AB01, metronidazole, The serum concentration of Dronabinol can be increased when it is combined with Metronidazole.]
[V04CD01, metyrapone, The serum concentration of Dronabinol can be increased when it is combined with Metyrapone.]
[C01BB02, mexiletine, The metabolism of Mexiletine can be decreased when combined with Dronabinol.]
[N06AX03, mianserin, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Mianserin.]
[S02AA13, miconazole, The serum concentration of Dronabinol can be increased when it is combined with Miconazole.]
[N02BB03, aminopyrine, The metabolism of Aminophenazone can be decreased when combined with Dronabinol.]
[N05CD08, midazolam, The serum concentration of Dronabinol can be increased when it is combined with Midazolam.]
[C01CA17, midodrine, The risk or severity of Tachycardia can be increased when Dronabinol is combined with Midodrine.]
[G03XB01, mifepristone, The serum concentration of Dronabinol can be increased when it is combined with Mifepristone.]
[C09CA03, valsartan, The serum concentration of Dronabinol can be increased when it is combined with Valsartan.]
[J01AA08, minocycline, Minocycline may increase the central nervous system depressant (CNS depressant) activities of Dronabinol.]
[L01XX23, mitotane, The metabolism of Dronabinol can be increased when combined with Mitotane.]
[N06BA12, lisdexamfetamine, The metabolism of Lisdexamfetamine can be decreased when combined with Dronabinol.]
[N05AE02, molindone, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Molindone.]
[L03AC01, aldesleukin, The serum concentration of Dronabinol can be increased when it is combined with Aldesleukin.]
[C01BD01, amiodarone, The serum concentration of Dronabinol can be increased when it is combined with Amiodarone.]
[N06AA09, amitriptyline, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Amitriptyline.]
[N02AA01, morphine, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Morphine.]
[A04AA05, palonosetron, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Palonosetron.]
[L04AB05, certolizumab pegol, The metabolism of Dronabinol can be increased when combined with Certolizumab pegol.]
[B02BX05, eltrombopag, The metabolism of Eltrombopag can be decreased when combined with Dronabinol.]
[L01EX03, pazopanib, The serum concentration of Dronabinol can be increased when it is combined with Pazopanib.]
[M03AC03, vecuronium, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Vecuronium.]
[N05CA02, amobarbital, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Amobarbital.]
[P01BA06, amodiaquine, The serum concentration of Dronabinol can be increased when it is combined with Amodiaquine.]
[R03BB01, ipratropium bromide, The risk or severity of Tachycardia and drowsiness can be increased when Ipratropium is combined with Dronabinol.]
[G03XC01, raloxifene, The serum concentration of Dronabinol can be increased when it is combined with Raloxifene.]
[N06AA17, amoxapine, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Amoxapine.]
[N03AB05, fosphenytoin, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Fosphenytoin.]
[C07AA12, nadolol, The metabolism of Nadolol can be decreased when combined with Dronabinol.]
[N04BC04, ropinirole, Dronabinol may increase the sedative activities of Ropinirole.]
[C04AX21, nafronyl, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Naftidrofuryl.]
[N02AF02, nalbuphine, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Nalbuphine.]
[V03AB15, naloxone, The serum concentration of Dronabinol can be increased when it is combined with Naloxone.]
[L04AC03, anakinra, The metabolism of Dronabinol can be increased when combined with Anakinra.]
[S01GA01, naphazoline, The risk or severity of Tachycardia can be increased when Dronabinol is combined with Naphazoline.]
[N06BA01, amphetamine, The metabolism of Amphetamine can be decreased when combined with Dronabinol.]
[M02AA12, naproxen, The metabolism of Naproxen can be decreased when combined with Dronabinol.]
[A10BG01, troglitazone, The metabolism of Dronabinol can be decreased when combined with Troglitazone.]
[N06AX21, duloxetine, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Duloxetine.]
[N04BX01, tolcapone, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Tolcapone.]
[L01CD02, docetaxel, The serum concentration of Dronabinol can be increased when it is combined with Docetaxel.]
[N01AH06, remifentanil, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Remifentanil.]
[N05AX14, iloperidone, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Iloperidone.]
[N06AX23, desvenlafaxine, The serum concentration of Dronabinol can be increased when it is combined with Desvenlafaxine.]
[N06AF02, nialamide, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Nialamide.]
[C08CA04, nicardipine, The serum concentration of Dronabinol can be increased when it is combined with Nicardipine.]
[C04AE02, nicergoline, The metabolism of Nicergoline can be decreased when combined with Dronabinol.]
[P02DA01, niclosamide, The metabolism of Niclosamide can be decreased when combined with Dronabinol.]
[N07BA01, nicotine, The metabolism of Nicotine can be decreased when combined with Dronabinol.]
[C08CA05, nifedipine, The metabolism of Nifedipine can be decreased when combined with Dronabinol.]
[N05CD02, nitrazepam, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Nitrazepam.]
[R07AX01, nitric oxide, The serum concentration of Dronabinol can be increased when it is combined with Nitric Oxide.]
[N05CF03, zaleplon, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Zaleplon.]
[N04BC05, pramipexole, Dronabinol may increase the sedative activities of Pramipexole.]
[N01AX13, nitrous oxide, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Nitrous oxide.]
[N06AX04, nomifensine, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Nomifensine.]
[C01CA03, norepinephrine, The risk or severity of Tachycardia can be increased when Dronabinol is combined with Norepinephrine.]
[S01AE02, norfloxacin, The serum concentration of Dronabinol can be increased when it is combined with Norfloxacin.]
[C02KX01, bosentan, The metabolism of Dronabinol can be increased when combined with Bosentan.]
[N06AA10, nortriptyline, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Nortriptyline.]
[R05DA07, noscapine, The serum concentration of Dronabinol can be increased when it is combined with Noscapine.]
[G02CA02, nylidrin, The risk or severity of Tachycardia can be increased when Dronabinol is combined with Nylidrin.]
[H01CB02, octreotide, The serum concentration of Dronabinol can be increased when it is combined with Octreotide.]
[J01FA05, oleandomycin, The serum concentration of Dronabinol can be increased when it is combined with Oleandomycin.]
[L04AC04, rilonacept, The metabolism of Dronabinol can be increased when combined with Rilonacept.]
[A02BC01, omeprazole, The serum concentration of Dronabinol can be increased when it is combined with Omeprazole.]
[N06AA05, opipramol, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Opipramol.]
[N02AA02, opium, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Opium.]
[R03CB03, metaproterenol, The risk or severity of Tachycardia can be increased when Dronabinol is combined with Orciprenaline.]
[G04CA02, tamsulosin, The metabolism of Tamsulosin can be decreased when combined with Dronabinol.]
[A14AA08, oxandrolone, The serum concentration of Dronabinol can be increased when it is combined with Oxandrolone.]
[N05BA04, oxazepam, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Oxazepam.]
[C07AA02, oxprenolol, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Oxprenolol.]
[N02AA05, oxycodone, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Oxycodone.]
[C01DX03, oxyfedrine, The risk or severity of Tachycardia can be increased when Dronabinol is combined with Oxyfedrine.]
[S01GA04, oxymetazoline, The risk or severity of Tachycardia can be increased when Dronabinol is combined with Oxymetazoline.]
[A14AA05, oxymetholone, The serum concentration of Dronabinol can be increased when it is combined with Oxymetholone.]
[N02AA11, oxymorphone, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Oxymorphone.]
[N05AE01, oxypertine, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Oxypertine.]
[A03AB03, oxyphenonium, The risk or severity of Tachycardia and drowsiness can be increased when Oxyphenonium is combined with Dronabinol.]
[N05AH05, asenapine, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Asenapine.]
[N02AX06, tapentadol, Tapentadol may increase the central nervous system depressant (CNS depressant) activities of Dronabinol.]
[M03AC01, pancuronium, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Pancuronium.]
[N05CC05, paraldehyde, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Paraldehyde.]
