[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Ranitidine.]
[R03DA01, dyphylline, Dyphylline may decrease the excretion rate of Ranitidine which could result in a higher serum level.]
[N02CC01, sumatriptan, Sumatriptan may decrease the excretion rate of Ranitidine which could result in a higher serum level.]
[V04CX07, edrophonium, Ranitidine may decrease the excretion rate of Edrophonium which could result in a higher serum level.]
[C07AB13, talinolol, The metabolism of Talinolol can be decreased when combined with Ranitidine.]
[J01CG02, tazobactam, The excretion of Ranitidine can be decreased when combined with Tazobactam.]
[J01MA05, temafloxacin, The metabolism of Ranitidine can be decreased when combined with Temafloxacin.]
[L01AX03, temozolomide, Temozolomide may decrease the excretion rate of Ranitidine which could result in a higher serum level.]
[M01AC02, tenoxicam, The excretion of Ranitidine can be decreased when combined with Tenoxicam.]
[D01BA02, terbinafine, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Terbinafine is combined with Ranitidine.]
[C07AA16, tertatolol, The metabolism of Tertatolol can be decreased when combined with Ranitidine.]
[P01AX02, emetine, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Ranitidine is combined with Emetine.]
[N06AX14, tianeptine, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Ranitidine is combined with Tianeptine.]
[C09AA02, enalapril, The excretion of Ranitidine can be decreased when combined with Enalapril.]
[M01AG02, tolfenamic acid, Tolfenamic acid may decrease the excretion rate of Ranitidine which could result in a higher serum level.]
[N06AG03, toloxatone, Ranitidine may decrease the excretion rate of Toloxatone which could result in a higher serum level.]
[N06BA09, atomoxetine, The metabolism of Atomoxetine can be decreased when combined with Ranitidine.]
[N03AX11, topiramate, Topiramate may decrease the excretion rate of Ranitidine which could result in a higher serum level.]
[C03CA04, torsemide, Torasemide may increase the excretion rate of Ranitidine which could result in a lower serum level and potentially a reduction in efficacy.]
[N05CC01, chloral hydrate, Ranitidine may decrease the excretion rate of Chloral hydrate which could result in a higher serum level.]
[J01MA04, enoxacin, The metabolism of Ranitidine can be decreased when combined with Enoxacin.]
[S01GX10, epinastine, The metabolism of Epinastine can be decreased when combined with Ranitidine.]
[N06AX16, venlafaxine, The metabolism of Venlafaxine can be decreased when combined with Ranitidine.]
[S01EA01, epinephrine, The serum concentration of Ranitidine can be increased when it is combined with Epinephrine.]
[N05CF02, zolpidem, The metabolism of Zolpidem can be decreased when combined with Ranitidine.]
[M01AB04, zomepirac, Zomepirac may decrease the excretion rate of Ranitidine which could result in a higher serum level.]
[N03AX15, zonisamide, Zonisamide may increase the excretion rate of Ranitidine which could result in a lower serum level and potentially a reduction in efficacy.]
[N05AX11, zotepine, The metabolism of Zotepine can be decreased when combined with Ranitidine.]
[L01XA02, carboplatin, Carboplatin may decrease the excretion rate of Ranitidine which could result in a higher serum level.]
[C02AC02, guanfacine, The risk or severity of adverse effects can be increased when Ranitidine is combined with Guanfacine.]
[B01AC11, iloprost, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Ranitidine is combined with Iloprost.]
[N03AG01, valproic acid, The excretion of Ranitidine can be decreased when combined with Valproic acid.]
[L03AX05, pidotimod, Ranitidine may decrease the excretion rate of Pidotimod which could result in a higher serum level.]
[N05CD04, estazolam, Ranitidine may decrease the excretion rate of Estazolam which could result in a higher serum level.]
[A02BC02, pantoprazole, The excretion of Ranitidine can be decreased when combined with Pantoprazole.]
[H05BX01, cinacalcet, The metabolism of Cinacalcet can be decreased when combined with Ranitidine.]
[G03CA03, estradiol, The serum concentration of Ranitidine can be increased when it is combined with Estradiol.]
[G03CA57, estrogens, conjugated (USP), The excretion of Ranitidine can be decreased when combined with Conjugated estrogens.]
[J04AK02, ethambutol, Ethambutol may decrease the excretion rate of Ranitidine which could result in a higher serum level.]
[C10AA04, fluvastatin, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Ranitidine is combined with Fluvastatin.]
[V08CA03, gadodiamide, Gadodiamide may decrease the excretion rate of Ranitidine which could result in a higher serum level.]
[C01CA15, gepefrine, Gepefrine may decrease the sedative and stimulatory activities of Ranitidine.]
[L02AA03, ethinyl estradiol, The metabolism of Ethinylestradiol can be decreased when combined with Ranitidine.]
[C01BD05, ibutilide, Ibutilide may decrease the excretion rate of Ranitidine which could result in a higher serum level.]
[M01AC06, meloxicam, Meloxicam may decrease the excretion rate of Ranitidine which could result in a higher serum level.]
[S01XA06, ethylmorphine, The metabolism of Ethylmorphine can be decreased when combined with Ranitidine.]
[N01AX07, etomidate, Etomidate may decrease the excretion rate of Ranitidine which could result in a higher serum level.]
[L01CB01, etoposide, The metabolism of Ranitidine can be decreased when combined with Etoposide.]
[N05AE03, sertindole, The metabolism of Sertindole can be decreased when combined with Ranitidine.]
[L04AD02, tacrolimus, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Ranitidine is combined with Tacrolimus.]
[A02BA04, nizatidine, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Nizatidine is combined with Ranitidine.]
[R06AX11, astemizole, The metabolism of Astemizole can be decreased when combined with Ranitidine.]
[R06AX12, terfenadine, The metabolism of Terfenadine can be decreased when combined with Ranitidine.]
[P01AX07, trimetrexate, Ranitidine may decrease the excretion rate of Trimetrexate which could result in a higher serum level.]
[N06AX12, bupropion, The excretion of Ranitidine can be decreased when combined with Bupropion.]
[N06AB08, fluvoxamine, The metabolism of Ranitidine can be decreased when combined with Fluvoxamine.]
[C01BB03, tocainide, The metabolism of Tocainide can be decreased when combined with Ranitidine.]
[C01BC08, encainide, The metabolism of Encainide can be decreased when combined with Ranitidine.]
[L02AE02, leuprolide, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Leuprolide is combined with Ranitidine.]
[C10AA03, pravastatin, The excretion of Ranitidine can be decreased when combined with Pravastatin.]
[M01CB01, gold sodium thiomalate, Ranitidine may decrease the excretion rate of Sodium aurothiomalate which could result in a higher serum level.]
[B05AA05, dextran, Ranitidine may decrease the excretion rate of Dextran which could result in a higher serum level.]
[V03AF02, dexrazoxane, Dexrazoxane may decrease the excretion rate of Ranitidine which could result in a higher serum level.]
[A02BA03, famotidine, The excretion of Ranitidine can be decreased when combined with Famotidine.]
[A16AA01, levocarnitine, Levocarnitine may decrease the excretion rate of Ranitidine which could result in a higher serum level.]
[P02CA03, albendazole, The metabolism of Ranitidine can be increased when combined with Albendazole.]
[N03AX26, fenfluramine, The metabolism of Fenfluramine can be decreased when combined with Ranitidine.]
[M01AE04, fenoprofen, Fenoprofen may decrease the excretion rate of Ranitidine which could result in a higher serum level.]
[N02AB03, fentanyl, Fentanyl may decrease the excretion rate of Ranitidine which could result in a higher serum level.]
[R03CC02, albuterol, Ranitidine may decrease the excretion rate of Salbutamol which could result in a higher serum level.]
[L01BB06, clofarabine, The serum concentration of Clofarabine can be increased when it is combined with Ranitidine.]
[L04AA40, cladribine, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Cladribine is combined with Ranitidine.]
[N07AX03, cevimeline, The metabolism of Cevimeline can be decreased when combined with Ranitidine.]
[G04BD02, flavoxate, Ranitidine may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[C01BC04, flecainide, The metabolism of Flecainide can be decreased when combined with Ranitidine.]
[N02BG04, floctafenine, Floctafenine may decrease the excretion rate of Ranitidine which could result in a higher serum level.]
[J02AC01, fluconazole, Ranitidine can cause a decrease in the absorption of Fluconazole resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[J02AX01, flucytosine, Ranitidine may decrease the excretion rate of Flucytosine which could result in a higher serum level.]
[V03AB25, flumazenil, Ranitidine may decrease the excretion rate of Flumazenil which could result in a higher serum level.]
[N07CA03, flunarizine, The metabolism of Flunarizine can be decreased when combined with Ranitidine.]
[V03AZ01, ethanol, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Ranitidine is combined with Ethanol.]
[L01BC09, floxuridine, Floxuridine may decrease the excretion rate of Ranitidine which could result in a higher serum level.]
[L01BC02, fluorouracil, The metabolism of Ranitidine can be decreased when combined with Fluorouracil.]
[N06AB03, fluoxetine, The metabolism of Fluoxetine can be decreased when combined with Ranitidine.]
[N05CD01, flurazepam, The serum concentration of Ranitidine can be increased when it is combined with Flurazepam.]
[S01BC04, flurbiprofen, Flurbiprofen may decrease the excretion rate of Ranitidine which could result in a higher serum level.]
[L02BB01, flutamide, The metabolism of Ranitidine can be decreased when combined with Flutamide.]
[V04CX02, folic acid, Folic acid may decrease the excretion rate of Ranitidine which could result in a higher serum level.]
[S02AA17, fosfomycin, Fosfomycin may decrease the excretion rate of Ranitidine which could result in a higher serum level.]
[S01AA07, framycetin, Framycetin may decrease the excretion rate of Ranitidine which could result in a higher serum level.]
[L01BC03, tegafur, The metabolism of Tegafur can be decreased when combined with Ranitidine.]
[J05AE10, darunavir, Ranitidine can cause a decrease in the absorption of Darunavir resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[C03CA01, furosemide, The excretion of Ranitidine can be decreased when combined with Furosemide.]
[M05BA04, alendronic acid, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Alendronic acid is combined with Ranitidine.]
[N05CF04, eszopiclone, Eszopiclone may decrease the excretion rate of Ranitidine which could result in a higher serum level.]
[N06DA04, galantamine, The metabolism of Galantamine can be decreased when combined with Ranitidine.]
[S01AD09, ganciclovir, The excretion of Ranitidine can be decreased when combined with Ganciclovir.]
[C10AB04, gemfibrozil, The excretion of Ranitidine can be decreased when combined with Gemfibrozil.]
[J01XA03, telavancin, Ranitidine may decrease the excretion rate of Telavancin which could result in a higher serum level.]
[L01EA02, dasatinib, Ranitidine can cause a decrease in the absorption of Dasatinib resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[C01CA21, cafedrine, The metabolism of Cafedrine can be decreased when combined with Ranitidine.]
[A10BB01, glyburide, The serum concentration of Glyburide can be increased when it is combined with Ranitidine.]
[A10BB09, gliclazide, The serum concentration of Gliclazide can be increased when it is combined with Ranitidine.]
[A10BB07, glipizide, The serum concentration of Glipizide can be increased when it is combined with Ranitidine.]
[N05CM18, dexmedetomidine, The metabolism of Ranitidine can be decreased when combined with Dexmedetomidine.]
[C01BD04, dofetilide, The serum concentration of Dofetilide can be increased when it is combined with Ranitidine.]
[C02CA04, doxazosin, The metabolism of Doxazosin can be decreased when combined with Ranitidine.]
[L01EX02, sorafenib, The metabolism of Ranitidine can be decreased when combined with Sorafenib.]
[C07AB09, esmolol, The metabolism of Esmolol can be decreased when combined with Ranitidine.]
[M01CB04, aurothioglucose, Ranitidine may decrease the excretion rate of Aurothioglucose which could result in a higher serum level.]
[S01LA03, pegaptanib, Ranitidine may decrease the excretion rate of Pegaptanib which could result in a higher serum level.]
[C09AA09, fosinopril, Fosinopril may decrease the excretion rate of Ranitidine which could result in a higher serum level.]
[S01EX01, guanethidine, Ranitidine may decrease the excretion rate of Guanethidine which could result in a higher serum level.]
[L02AE03, goserelin, Goserelin may decrease the excretion rate of Ranitidine which could result in a higher serum level.]
[N05AD01, haloperidol, The serum concentration of Haloperidol can be increased when it is combined with Ranitidine.]
[N05AH04, quetiapine, The metabolism of Quetiapine can be decreased when combined with Ranitidine.]
[N06BX13, idebenone, Ranitidine may decrease the excretion rate of Idebenone which could result in a higher serum level.]
[M04AA01, allopurinol, Allopurinol may decrease the excretion rate of Ranitidine which could result in a higher serum level.]
[C09CA01, losartan, The excretion of Ranitidine can be decreased when combined with Losartan.]
[G03DC01, allylestrenol, Ranitidine may decrease the excretion rate of Allylestrenol which could result in a higher serum level.]
[A07EC02, mesalamine, Ranitidine can cause a decrease in the absorption of Mesalazine resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[C01CE02, milrinone, Milrinone may decrease the excretion rate of Ranitidine which could result in a higher serum level.]
[J05AG01, nevirapine, The metabolism of Nevirapine can be decreased when combined with Ranitidine.]
[M02AA26, nimesulide, Nimesulide may decrease the excretion rate of Ranitidine which could result in a higher serum level.]
[C09AA04, perindopril, Perindopril may decrease the excretion rate of Ranitidine which could result in a higher serum level.]
[C02DB02, hydralazine, Ranitidine may decrease the excretion rate of Hydralazine which could result in a higher serum level.]
[C03AA03, hydrochlorothiazide, Hydrochlorothiazide may increase the excretion rate of Ranitidine which could result in a lower serum level and potentially a reduction in efficacy.]
[R05DA03, hydrocodone, The metabolism of Hydrocodone can be decreased when combined with Ranitidine.]
[C03AA02, hydroflumethiazide, Hydroflumethiazide may increase the excretion rate of Ranitidine which could result in a lower serum level and potentially a reduction in efficacy.]
[B05XA17, potassium acetate, Ranitidine may decrease the excretion rate of Potassium acetate which could result in a higher serum level.]
[A12BA02, potassium citrate, Potassium citrate may increase the excretion rate of Ranitidine which could result in a lower serum level and potentially a reduction in efficacy.]
[V03AB33, hydroxocobalamin, Hydroxocobalamin may decrease the excretion rate of Ranitidine which could result in a higher serum level.]
[G04BD06, propiverine, Ranitidine may decrease the excretion rate of Propiverine which could result in a higher serum level.]
[P01BA02, hydroxychloroquine, The metabolism of Hydroxychloroquine can be decreased when combined with Ranitidine.]
[B05AA07, hetastarch, Ranitidine may decrease the excretion rate of Hydroxyethyl Starch which could result in a higher serum level.]
[M05BA07, risedronic acid, Ranitidine can cause an increase in the absorption of Risedronic acid resulting in an increased serum concentration and potentially a worsening of adverse effects.]
[R02AX02, ibuprofen, The excretion of Ranitidine can be decreased when combined with Ibuprofen.]
[B05XA08, sodium acetate, Ranitidine may decrease the excretion rate of Sodium acetate which could result in a higher serum level.]
[L01DB06, idarubicin, The metabolism of Idarubicin can be decreased when combined with Ranitidine.]
[L01AA06, ifosfamide, Ranitidine may decrease the excretion rate of Ifosfamide which could result in a higher serum level.]
[H01AC02, somatrem, The metabolism of Ranitidine can be increased when combined with Somatrem.]
[N06AA02, imipramine, The metabolism of Imipramine can be decreased when combined with Ranitidine.]
[L01CD01, paclitaxel, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Ranitidine is combined with Paclitaxel.]
[R01AD07, tixocortol, Ranitidine may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[M03BX02, tizanidine, The metabolism of Ranitidine can be decreased when combined with Tizanidine.]
[L01CE01, topotecan, Ranitidine may decrease the excretion rate of Topotecan which could result in a higher serum level.]
[C03BA11, indapamide, Indapamide may increase the excretion rate of Ranitidine which could result in a lower serum level and potentially a reduction in efficacy.]
[S01BC01, indomethacin, The excretion of Ranitidine can be decreased when combined with Indomethacin.]
[A11HA07, inositol, Ranitidine may decrease the excretion rate of Inositol which could result in a higher serum level.]
[L03AB04, interferon alfa-2a, The metabolism of Ranitidine can be decreased when combined with Interferon alfa-2a.]
[L03AB05, interferon alfa-2b, The metabolism of Ranitidine can be decreased when combined with Interferon alfa-2b.]
[N06AX17, milnacipran, Ranitidine may decrease the excretion rate of Milnacipran which could result in a higher serum level.]
[S01XA28, varenicline, The excretion of Varenicline can be decreased when combined with Ranitidine.]
[A10BH01, sitagliptin, Ranitidine may decrease the excretion rate of Sitagliptin which could result in a higher serum level.]
[N05BA12, alprazolam, Alprazolam may decrease the excretion rate of Ranitidine which could result in a higher serum level.]
[N05CH02, ramelteon, The metabolism of Ramelteon can be decreased when combined with Ranitidine.]
[C10AA06, cerivastatin, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Cerivastatin is combined with Ranitidine.]
[L01XX35, anagrelide, The metabolism of Ranitidine can be decreased when combined with Anagrelide.]
[C07AA01, alprenolol, The metabolism of Alprenolol can be decreased when combined with Ranitidine.]
[C03BA02, quinethazone, Quinethazone may increase the excretion rate of Ranitidine which could result in a lower serum level and potentially a reduction in efficacy.]
[L03AB09, interferon alfacon-1, The metabolism of Ranitidine can be decreased when combined with Interferon alfacon-1.]
[V03AB01, ipecac, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Ranitidine is combined with Ipecac.]
[J05AF04, stavudine, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Stavudine is combined with Ranitidine.]
[G04BE01, alprostadil, The excretion of Ranitidine can be decreased when combined with Alprostadil.]
[J05AB13, penciclovir, The metabolism of Ranitidine can be decreased when combined with Penciclovir.]
[J04AC01, isoniazid, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Ranitidine is combined with Isoniazid.]
[J05AX05, inosine pranobex, Ranitidine may decrease the excretion rate of Inosine pranobex which could result in a higher serum level.]
[C01DA14, isosorbide mononitrate, Ranitidine may decrease the excretion rate of Isosorbide mononitrate which could result in a higher serum level.]
[D10BA01, isotretinoin, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Ranitidine is combined with Isotretinoin.]
[P02CF01, ivermectin, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Ivermectin is combined with Ranitidine.]
[S01AA24, kanamycin, Ranitidine may decrease the excretion rate of Kanamycin which could result in a higher serum level.]
[H01AC01, somatropin, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Somatotropin is combined with Ranitidine.]
[L04AC07, tocilizumab, The metabolism of Ranitidine can be increased when combined with Tocilizumab.]
[N01AX03, ketamine, Ranitidine may decrease the excretion rate of Ketamine which could result in a higher serum level.]
[J02AB02, ketoconazole, Ranitidine can cause a decrease in the absorption of Ketoconazole resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[H02CA04, levoketoconazole, Ranitidine can cause a decrease in the absorption of Levoketoconazole resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[N05AH03, olanzapine, The metabolism of Olanzapine can be decreased when combined with Ranitidine.]
[M02AA10, ketoprofen, The excretion of Ranitidine can be decreased when combined with Ketoprofen.]
[V03AC03, deferasirox, The serum concentration of Ranitidine can be increased when it is combined with Deferasirox.]
[L04AA24, abatacept, The metabolism of Ranitidine can be increased when combined with Abatacept.]
[N04BC09, rotigotine, The metabolism of Rotigotine can be decreased when combined with Ranitidine.]
[D10AX03, azelaic acid, Azelaic acid may decrease the excretion rate of Ranitidine which could result in a higher serum level.]
[J01MB02, nalidixic acid, The metabolism of Ranitidine can be decreased when combined with Nalidixic acid.]
[M01AE11, tiaprofenic acid, Tiaprofenic acid may decrease the excretion rate of Ranitidine which could result in a higher serum level.]
[C07AG01, labetalol, The metabolism of Labetalol can be decreased when combined with Ranitidine.]
[N04BB01, amantadine, The serum concentration of Amantadine can be increased when it is combined with Ranitidine.]
[A06AX03, lubiprostone, Ranitidine may decrease the excretion rate of Lubiprostone which could result in a higher serum level.]
[C03CC01, ethacrynic acid, Etacrynic acid may increase the excretion rate of Ranitidine which could result in a lower serum level and potentially a reduction in efficacy.]
[S02DA01, lidocaine, The serum concentration of Lidocaine can be increased when it is combined with Ranitidine.]
[S01AA21, amikacin, Ranitidine may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[N06BA13, armodafinil, The metabolism of Ranitidine can be increased when combined with Armodafinil.]
[C03DB01, amiloride, The serum concentration of Ranitidine can be increased when it is combined with Amiloride.]
[N02CA07, lisuride, The metabolism of Lisuride can be decreased when combined with Ranitidine.]
[C10AA02, lovastatin, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Lovastatin is combined with Ranitidine.]
[B05XA11, magnesium chloride, Ranitidine may decrease the excretion rate of Magnesium chloride which could result in a higher serum level.]
[G04BX01, magnesium hydroxide, Ranitidine may decrease the excretion rate of Magnesium hydroxide which could result in a higher serum level.]
[L01BA05, pralatrexate, Ranitidine may decrease the excretion rate of Pralatrexate which could result in a higher serum level.]
[L01EA03, nilotinib, Ranitidine can cause a decrease in the absorption of Nilotinib resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[V04CX04, mannitol, Mannitol may increase the excretion rate of Ranitidine which could result in a lower serum level and potentially a reduction in efficacy.]
[N06AA21, maprotiline, The metabolism of Maprotiline can be decreased when combined with Ranitidine.]
[C02BB01, mecamylamine, Mecamylamine may decrease the excretion rate of Ranitidine which could result in a higher serum level.]
[R06AE05, meclizine, The metabolism of Meclizine can be decreased when combined with Ranitidine.]
[M02AA18, meclofenamic acid, Meclofenamic acid may decrease the excretion rate of Ranitidine which could result in a higher serum level.]
[P01BC02, mefloquine, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Mefloquine is combined with Ranitidine.]
[C03BA05, mefruside, Mefruside may increase the excretion rate of Ranitidine which could result in a lower serum level and potentially a reduction in efficacy.]
[N05CH01, melatonin, The excretion of Ranitidine can be decreased when combined with Melatonin.]
[N06DX01, memantine, Ranitidine may decrease the excretion rate of Memantine which could result in a higher serum level.]
[N02AB02, meperidine, Meperidine may decrease the excretion rate of Ranitidine which could result in a higher serum level.]
[C01CA11, mephentermine, Mephentermine may decrease the sedative and stimulatory activities of Ranitidine.]
[N03AB04, mephenytoin, The metabolism of Mephenytoin can be decreased when combined with Ranitidine.]
[N01BB03, mepivacaine, Ranitidine may decrease the excretion rate of Mepivacaine which could result in a higher serum level.]
[G04BX16, tiopronin, Ranitidine may decrease the excretion rate of Tiopronin which could result in a higher serum level.]
[C03BC01, mersalyl, Mersalyl may increase the excretion rate of Ranitidine which could result in a lower serum level and potentially a reduction in efficacy.]
[N05AC03, mesoridazine, The metabolism of Mesoridazine can be decreased when combined with Ranitidine.]
[N05AX13, paliperidone, The metabolism of Paliperidone can be decreased when combined with Ranitidine.]
[A10BA02, metformin, The serum concentration of Ranitidine can be increased when it is combined with Metformin.]
[A04AA04, dolasetron, The metabolism of Dolasetron can be decreased when combined with Ranitidine.]
[N07BC02, methadone, The metabolism of Methadone can be decreased when combined with Ranitidine.]
[N06BA03, methamphetamine, Metamfetamine may decrease the sedative and stimulatory activities of Ranitidine.]
[J05AF05, lamivudine, The serum concentration of Lamivudine can be increased when it is combined with Ranitidine.]
[S01EC05, methazolamide, Methazolamide may increase the excretion rate of Ranitidine which could result in a lower serum level and potentially a reduction in efficacy.]
[J01XX05, methenamine, The therapeutic efficacy of Methenamine can be decreased when used in combination with Ranitidine.]
[H03BB02, methimazole, The metabolism of Ranitidine can be decreased when combined with Methimazole.]
[L01BA04, pemetrexed, Ranitidine may decrease the excretion rate of Pemetrexed which could result in a higher serum level.]
[A11HA02, pyridoxine, Pyridoxine may decrease the excretion rate of Ranitidine which could result in a higher serum level.]
[L04AX03, methotrexate, The excretion of Ranitidine can be decreased when combined with Methotrexate.]
[N05AA02, methotrimeprazine, The metabolism of Methotrimeprazine can be decreased when combined with Ranitidine.]
[D05BA02, methoxsalen, The metabolism of Ranitidine can be decreased when combined with Methoxsalen.]
[N02BG09, methoxyflurane, The metabolism of Methoxyflurane can be decreased when combined with Ranitidine.]
[C03AA08, methyclothiazide, Methyclothiazide may increase the excretion rate of Ranitidine which could result in a lower serum level and potentially a reduction in efficacy.]
[C02AB01, methyldopa, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Ranitidine is combined with Methyldopa.]
[V04CG05, methylene blue, The serum concentration of Ranitidine can be increased when it is combined with Methylene blue.]
[R03DA05, aminophylline, The metabolism of Aminophylline can be decreased when combined with Ranitidine.]
[N06BA04, methylphenidate, The therapeutic efficacy of Methylphenidate can be decreased when used in combination with Ranitidine.]
[G03EK01, methyltestosterone, The excretion of Ranitidine can be increased when combined with Methyltestosterone.]
[A03FA01, metoclopramide, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Ranitidine is combined with Metoclopramide.]
[C03BA08, metolazone, Metolazone may increase the excretion rate of Ranitidine which could result in a lower serum level and potentially a reduction in efficacy.]
[C07AB02, metoprolol, The serum concentration of Ranitidine can be increased when it is combined with Metoprolol.]
[V04CD01, metyrapone, Ranitidine may decrease the excretion rate of Metyrapone which could result in a higher serum level.]
[C01BB02, mexiletine, The metabolism of Ranitidine can be decreased when combined with Mexiletine.]
[N06AX03, mianserin, The metabolism of Mianserin can be decreased when combined with Ranitidine.]
[S02AA13, miconazole, Ranitidine can cause a decrease in the absorption of Miconazole resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[N02BB03, aminopyrine, The metabolism of Aminophenazone can be decreased when combined with Ranitidine.]
[N05CD08, midazolam, The serum concentration of Midazolam can be increased when it is combined with Ranitidine.]
[J05AH01, zanamivir, Zanamivir may decrease the excretion rate of Ranitidine which could result in a higher serum level.]
[J01AA08, minocycline, The excretion of Ranitidine can be decreased when combined with Minocycline.]
[N06BA12, lisdexamfetamine, Lisdexamfetamine may decrease the sedative and stimulatory activities of Ranitidine.]
[L03AC01, aldesleukin, Aldesleukin may decrease the excretion rate of Ranitidine which could result in a higher serum level.]
[C01BD01, amiodarone, The metabolism of Ranitidine can be decreased when combined with Amiodarone.]
[N06AA09, amitriptyline, The metabolism of Amitriptyline can be decreased when combined with Ranitidine.]
[A04AA05, palonosetron, The metabolism of Palonosetron can be decreased when combined with Ranitidine.]
[J01DD06, moxalactam, Latamoxef may decrease the excretion rate of Ranitidine which could result in a higher serum level.]
[L04AB05, certolizumab pegol, The metabolism of Ranitidine can be increased when combined with Certolizumab pegol.]
[B02BX05, eltrombopag, The metabolism of Eltrombopag can be decreased when combined with Ranitidine.]
[G04BA01, ammonium chloride, Ranitidine may decrease the excretion rate of Ammonium chloride which could result in a higher serum level.]
[L01EX03, pazopanib, Ranitidine can cause a decrease in the absorption of Pazopanib resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[L04AA06, mycophenolic acid, Ranitidine can cause a decrease in the absorption of Mycophenolic acid resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[J05AJ01, raltegravir, Ranitidine can cause an increase in the absorption of Raltegravir resulting in an increased serum concentration and potentially a worsening of adverse effects.]
[N06AA17, amoxapine, The metabolism of Amoxapine can be decreased when combined with Ranitidine.]
[N03AB05, fosphenytoin, The metabolism of Ranitidine can be increased when combined with Fosphenytoin.]
[L03AB08, interferon beta-1b, The metabolism of Ranitidine can be decreased when combined with Interferon beta-1b.]
[C07AA12, nadolol, The metabolism of Nadolol can be decreased when combined with Ranitidine.]
[J01CA04, amoxicillin, Ranitidine may decrease the excretion rate of Amoxicillin which could result in a higher serum level.]
[N04BC04, ropinirole, The risk or severity of adverse effects can be increased when Ranitidine is combined with Ropinirole.]
[J01CF06, nafcillin, The metabolism of Ranitidine can be increased when combined with Nafcillin.]
[V03AB15, naloxone, Ranitidine may decrease the excretion rate of Naloxone which could result in a higher serum level.]
[N07BB04, naltrexone, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Naltrexone is combined with Ranitidine.]
[L04AC03, anakinra, The metabolism of Ranitidine can be increased when combined with Anakinra.]
[N06BA01, amphetamine, Amphetamine may decrease the sedative and stimulatory activities of Ranitidine.]
[M02AA12, naproxen, The metabolism of Ranitidine can be decreased when combined with Naproxen.]
[N06AX21, duloxetine, The metabolism of Duloxetine can be decreased when combined with Ranitidine.]
[N04BX01, tolcapone, Tolcapone may decrease the excretion rate of Ranitidine which could result in a higher serum level.]
[L01CD02, docetaxel, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Ranitidine is combined with Docetaxel.]
[L02BG04, letrozole, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Ranitidine is combined with Letrozole.]
[S03AA01, neomycin, Ranitidine may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[B01AC17, tirofiban, Tirofiban may decrease the excretion rate of Ranitidine which could result in a higher serum level.]
[N05AX14, iloperidone, The metabolism of Iloperidone can be decreased when combined with Ranitidine.]
[J02AA01, amphotericin B, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Amphotericin B is combined with Ranitidine.]
[S01AA19, ampicillin, Ampicillin may decrease the excretion rate of Ranitidine which could result in a higher serum level.]
[L03AX16, plerixafor, Ranitidine may decrease the excretion rate of Plerixafor which could result in a higher serum level.]
