[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Moxifloxacin.]
[A04AA04, dolasetron, The risk or severity of QTc prolongation can be increased when Moxifloxacin is combined with Dolasetron.]
[N07BC02, methadone, The risk or severity of QTc prolongation can be increased when Moxifloxacin is combined with Methadone.]
[L01BA04, pemetrexed, The metabolism of Pemetrexed can be decreased when combined with Moxifloxacin.]
[N05AA02, methotrimeprazine, The risk or severity of QTc prolongation can be increased when Methotrimeprazine is combined with Moxifloxacin.]
[V04CG05, methylene blue, The metabolism of Methylene blue can be decreased when combined with Moxifloxacin.]
[R03DA05, aminophylline, The metabolism of Aminophylline can be decreased when combined with Moxifloxacin.]
[H02AB04, methylprednisolone, The risk or severity of tendinopathy can be increased when Methylprednisolone is combined with Moxifloxacin.]
[D07AC14, methylprednisolone aceponate, The risk or severity of tendinopathy can be increased when Methylprednisolone aceponate is combined with Moxifloxacin.]
[A03FA01, metoclopramide, The metabolism of Metoclopramide can be decreased when combined with Moxifloxacin.]
[P01AB01, metronidazole, The risk or severity of QTc prolongation can be increased when Metronidazole is combined with Moxifloxacin.]
[C01BB02, mexiletine, The metabolism of Mexiletine can be decreased when combined with Moxifloxacin.]
[J01CA10, mezlocillin, The serum concentration of Moxifloxacin can be increased when it is combined with Mezlocillin.]
[N06AX03, mianserin, The metabolism of Mianserin can be decreased when combined with Moxifloxacin.]
[N02BB03, aminopyrine, The metabolism of Aminophenazone can be decreased when combined with Moxifloxacin.]
[G03XB01, mifepristone, The risk or severity of QTc prolongation can be increased when Moxifloxacin is combined with Mifepristone.]
[C01BD01, amiodarone, The risk or severity of QTc prolongation can be increased when Moxifloxacin is combined with Amiodarone.]
[N06AA09, amitriptyline, Moxifloxacin may increase the QTc-prolonging activities of Amitriptyline.]
[B02BX05, eltrombopag, The metabolism of Eltrombopag can be decreased when combined with Moxifloxacin.]
[L01EX03, pazopanib, The risk or severity of QTc prolongation can be increased when Moxifloxacin is combined with Pazopanib.]
[L04AA06, mycophenolic acid, The serum concentration of Mycophenolic acid can be decreased when it is combined with Moxifloxacin.]
[P01BA06, amodiaquine, The risk or severity of QTc prolongation can be increased when Amodiaquine is combined with Moxifloxacin.]
[N06AA17, amoxapine, The risk or severity of QTc prolongation can be increased when Amoxapine is combined with Moxifloxacin.]
[J01CA04, amoxicillin, The serum concentration of Moxifloxacin can be increased when it is combined with Amoxicillin.]
[N04BC04, ropinirole, The risk or severity of adverse effects can be increased when Moxifloxacin is combined with Ropinirole.]
[J01CF06, nafcillin, The serum concentration of Moxifloxacin can be increased when it is combined with Nafcillin.]
[M02AA12, naproxen, The metabolism of Naproxen can be decreased when combined with Moxifloxacin.]
[A10BG01, troglitazone, The therapeutic efficacy of Troglitazone can be increased when used in combination with Moxifloxacin.]
[A10BX02, repaglinide, The therapeutic efficacy of Repaglinide can be increased when used in combination with Moxifloxacin.]
[C01CX08, levosimendan, The risk or severity of QTc prolongation can be increased when Moxifloxacin is combined with Levosimendan.]
[N05AX14, iloperidone, The risk or severity of QTc prolongation can be increased when Moxifloxacin is combined with Iloperidone.]
[S01AA19, ampicillin, The serum concentration of Moxifloxacin can be increased when it is combined with Ampicillin.]
[C08CA04, nicardipine, The risk or severity of QTc prolongation can be increased when Nicardipine is combined with Moxifloxacin.]
[C08CA05, nifedipine, The risk or severity of QTc prolongation can be increased when Moxifloxacin is combined with Nifedipine.]
[M02AA17, niflumic acid, Niflumic acid may increase the neuroexcitatory activities of Moxifloxacin.]
[C08CA06, nimodipine, The risk or severity of QTc prolongation can be increased when Moxifloxacin is combined with Nimodipine.]
[C08CA08, nitrendipine, The risk or severity of QTc prolongation can be increased when Nitrendipine is combined with Moxifloxacin.]
[J01XE01, nitrofurantoin, The therapeutic efficacy of Moxifloxacin can be decreased when used in combination with Nitrofurantoin.]
[C02DD01, nitroprusside, Nitroprusside can cause a decrease in the absorption of Moxifloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[S01AE02, norfloxacin, The risk or severity of QTc prolongation can be increased when Norfloxacin is combined with Moxifloxacin.]
[N06AA10, nortriptyline, The risk or severity of QTc prolongation can be increased when Nortriptyline is combined with Moxifloxacin.]
[H01CB02, octreotide, The risk or severity of QTc prolongation can be increased when Octreotide is combined with Moxifloxacin.]
[S02AA16, ofloxacin, The risk or severity of QTc prolongation can be increased when Moxifloxacin is combined with Ofloxacin.]
[J01CF04, oxacillin, The serum concentration of Moxifloxacin can be increased when it is combined with Oxacillin.]
[V08CB01, ferumoxsil, Ferumoxsil can cause a decrease in the absorption of Moxifloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[J01MB05, oxolinic acid, The risk or severity of QTc prolongation can be increased when Oxolinic acid is combined with Moxifloxacin.]
[S01BC02, oxyphenbutazone, Oxyphenbutazone may increase the neuroexcitatory activities of Moxifloxacin.]
[H01BB02, oxytocin, The risk or severity of QTc prolongation can be increased when Oxytocin is combined with Moxifloxacin.]
[N05AH05, asenapine, The risk or severity of QTc prolongation can be increased when Moxifloxacin is combined with Asenapine.]
[G04BE02, papaverine, The risk or severity of QTc prolongation can be increased when Moxifloxacin is combined with Papaverine.]
[H02AB05, paramethasone, The risk or severity of tendinopathy can be increased when Paramethasone is combined with Moxifloxacin.]
[J01MA03, pefloxacin, The risk or severity of QTc prolongation can be increased when Pefloxacin is combined with Moxifloxacin.]
[N05AG03, penfluridol, The risk or severity of QTc prolongation can be increased when Moxifloxacin is combined with Penfluridol.]
[S01AA14, penicillin G, The serum concentration of Moxifloxacin can be increased when it is combined with Benzylpenicillin.]
[J01CE09, penicillin G procaine, The serum concentration of Moxifloxacin can be increased when it is combined with Procaine benzylpenicillin.]
[J01CE02, penicillin V, The serum concentration of Moxifloxacin can be increased when it is combined with Phenoxymethylpenicillin.]
[C04AD03, pentoxifylline, The metabolism of Pentoxifylline can be decreased when combined with Moxifloxacin.]
[C08EX02, perhexiline, The risk or severity of QTc prolongation can be increased when Perhexiline is combined with Moxifloxacin.]
[N05AB03, perphenazine, The metabolism of Perphenazine can be decreased when combined with Moxifloxacin.]
[N02BE03, phenacetin, The metabolism of Phenacetin can be decreased when combined with Moxifloxacin.]
[A10BA01, phenformin, The therapeutic efficacy of Phenformin can be increased when used in combination with Moxifloxacin.]
[B01AA02, phenindione, The therapeutic efficacy of Phenindione can be increased when used in combination with Moxifloxacin.]
[R06AB05, pheniramine, The risk or severity of QTc prolongation can be increased when Pheniramine is combined with Moxifloxacin.]
[B01AA04, phenprocoumon, The therapeutic efficacy of Phenprocoumon can be increased when used in combination with Moxifloxacin.]
[M02AA01, phenylbutazone, Phenylbutazone may increase the neuroexcitatory activities of Moxifloxacin.]
[S01AE05, levofloxacin, The risk or severity of QTc prolongation can be increased when Moxifloxacin is combined with Levofloxacin.]
[C08CX01, mibefradil, The risk or severity of QTc prolongation can be increased when Moxifloxacin is combined with Mibefradil.]
[N05AG02, pimozide, The risk or severity of QTc prolongation can be increased when Moxifloxacin is combined with Pimozide.]
[J01CA12, piperacillin, The serum concentration of Moxifloxacin can be increased when it is combined with Piperacillin.]
[J05AE01, saquinavir, The risk or severity of QTc prolongation can be increased when Moxifloxacin is combined with Saquinavir.]
[S01BC06, piroxicam, Piroxicam may increase the neuroexcitatory activities of Moxifloxacin.]
[J01MA11, grepafloxacin, The risk or severity of QTc prolongation can be increased when Moxifloxacin is combined with Grepafloxacin.]
[J01CA02, pivampicillin, The serum concentration of Moxifloxacin can be increased when it is combined with Pivampicillin.]
[A10BG02, rosiglitazone, The therapeutic efficacy of Rosiglitazone can be increased when used in combination with Moxifloxacin.]
[A03AE01, alosetron, The metabolism of Alosetron can be decreased when combined with Moxifloxacin.]
[J05AE03, ritonavir, The risk or severity of QTc prolongation can be increased when Ritonavir is combined with Moxifloxacin.]
[A10BH03, saxagliptin, The therapeutic efficacy of Saxagliptin can be increased when used in combination with Moxifloxacin.]
[A10AD04, insulin lispro, The therapeutic efficacy of Insulin lispro can be increased when used in combination with Moxifloxacin.]
[C01BA08, prajmaline, The risk or severity of QTc prolongation can be increased when Prajmaline is combined with Moxifloxacin.]
[P02BA01, praziquantel, The metabolism of Praziquantel can be decreased when combined with Moxifloxacin.]
[S03BA02, prednisolone, The risk or severity of tendinopathy can be increased when Prednisolone is combined with Moxifloxacin.]
[H02AB07, prednisone, The risk or severity of tendinopathy can be increased when Prednisone is combined with Moxifloxacin.]
[R06AX05, antazoline, The risk or severity of QTc prolongation can be increased when Moxifloxacin is combined with Antazoline.]
[C01DX02, prenylamine, The risk or severity of QTc prolongation can be increased when Moxifloxacin is combined with Prenylamine.]
[N01BB04, prilocaine, The risk or severity of methemoglobinemia can be increased when Moxifloxacin is combined with Prilocaine.]
[P01BA03, primaquine, The risk or severity of QTc prolongation can be increased when Moxifloxacin is combined with Primaquine.]
[M04AB01, probenecid, Probenecid may decrease the excretion rate of Moxifloxacin which could result in a higher serum level.]
[C10AX02, probucol, The risk or severity of QTc prolongation can be increased when Moxifloxacin is combined with Probucol.]
[C01BA02, procainamide, The risk or severity of QTc prolongation can be increased when Moxifloxacin is combined with Procainamide.]
[S01HA05, procaine, The risk or severity of methemoglobinemia can be increased when Moxifloxacin is combined with Procaine.]
[N05AB04, prochlorperazine, The risk or severity of QTc prolongation can be increased when Moxifloxacin is combined with Prochlorperazine.]
[N05AA03, promazine, The risk or severity of QTc prolongation can be increased when Moxifloxacin is combined with Promazine.]
[R06AD02, promethazine, The risk or severity of QTc prolongation can be increased when Promethazine is combined with Moxifloxacin.]
[C01BC03, propafenone, The risk or severity of QTc prolongation can be increased when Moxifloxacin is combined with Propafenone.]
[L01XH02, romidepsin, The risk or severity of QTc prolongation can be increased when Moxifloxacin is combined with Romidepsin.]
[N01AX10, propofol, The risk or severity of QTc prolongation can be increased when Propofol is combined with Moxifloxacin.]
[C07AA05, propranolol, The metabolism of Propranolol can be decreased when combined with Moxifloxacin.]
[N06AA11, protriptyline, The risk or severity of QTc prolongation can be increased when Protriptyline is combined with Moxifloxacin.]
[N05AX12, aripiprazole, The risk or severity of QTc prolongation can be increased when Aripiprazole is combined with Moxifloxacin.]
[R06AC01, pyrilamine, The risk or severity of QTc prolongation can be increased when Mepyramine is combined with Moxifloxacin.]
[C01BA01, quinidine, The risk or severity of QTc prolongation can be increased when Moxifloxacin is combined with Quinidine.]
[P01BC01, quinine, The risk or severity of QTc prolongation can be increased when Moxifloxacin is combined with Quinine.]
[A02BA02, ranitidine, The metabolism of Ranitidine can be decreased when combined with Moxifloxacin.]
[J01FA06, roxithromycin, The risk or severity of QTc prolongation can be increased when Moxifloxacin is combined with Roxithromycin.]
[N02BA05, salicylamide, Salicylamide may increase the neuroexcitatory activities of Moxifloxacin.]
[A07EC01, sulfasalazine, Sulfasalazine may increase the neuroexcitatory activities of Moxifloxacin.]
[S01BC08, salicylic acid, Salicylic acid may increase the neuroexcitatory activities of Moxifloxacin.]
[N04BD01, selegiline, The metabolism of Selegiline can be decreased when combined with Moxifloxacin.]
[C07AA07, sotalol, The risk or severity of QTc prolongation can be increased when Moxifloxacin is combined with Sotalol.]
[N03AG01, valproic acid, The risk or severity of QTc prolongation can be increased when Moxifloxacin is combined with Valproic acid.]
[D07AB02, hydrocortisone butyrate, The risk or severity of tendinopathy can be increased when Hydrocortisone butyrate is combined with Moxifloxacin.]
[N05AL01, sulpiride, QT prolonging agents - QT prolonging agents]
[N05AC02, thioridazine, QT prolonging agents - QT prolonging agents]
[L01EX04, vandetanib, QT prolonging agents - QT prolonging agents]
[N06DA02, donepezil, QT prolonging agents - QT prolonging agents]
[C08EA02, bepridil, QT prolonging agents - QT prolonging agents]
[L01XX27, arsenic trioxide, QT prolonging agents - QT prolonging agents]
[J01MA09, sparfloxacin, QT prolonging agents - QT prolonging agents]
[S01AA26, azithromycin, QT prolonging agents - QT prolonging agents]
[B01AC23, cilostazol, QT prolonging agents - QT prolonging agents]
[J01FA09, clarithromycin, QT prolonging agents - QT prolonging agents]
[S01AE06, gatifloxacin, QT prolonging agents - QT prolonging agents]
[C01BD07, dronedarone, QT prolonging agents - QT prolonging agents]
[L01DB04, aclarubicin, QT prolonging agents - QT prolonging agents]
[P01BA01, chloroquine, QT prolonging agents - QT prolonging agents]
[N05AA01, chlorpromazine, QT prolonging agents - QT prolonging agents]
[N05AF03, chlorprothixene, QT prolonging agents - QT prolonging agents]
[S03AA07, ciprofloxacin, QT prolonging agents - QT prolonging agents]
[N06AB04, citalopram, QT prolonging agents - QT prolonging agents]
[L01EB10, mobocertinib, QT prolonging agents - QT prolonging agents]
[A04AA01, ondansetron, QT prolonging agents - QT prolonging agents]
[S02DA02, cocaine, QT prolonging agents - QT prolonging agents]
[C01BA13, hydroquinidine, QT prolonging agents - QT prolonging agents]
[P01CB01, meglumine antimoniate, QT prolonging agents - QT prolonging agents]
[L01XA03, oxaliplatin, QT prolonging agents - QT prolonging agents]
[A03FA02, cisapride, QT prolonging agents - QT prolonging agents]
[C01BA03, disopyramide, QT prolonging agents - QT prolonging agents]
[A03FA03, domperidone, QT prolonging agents - QT prolonging agents]
[N01AB08, sevoflurane, QT prolonging agents - QT prolonging agents]
[N05AD08, droperidol, QT prolonging agents - QT prolonging agents]
[N05AL02, sultopride, QT prolonging agents - QT prolonging agents]
[G04BD05, terodiline, QT prolonging agents - QT prolonging agents]
[S01AA17, erythromycin, QT prolonging agents - QT prolonging agents]
[C01BD05, ibutilide, QT prolonging agents - QT prolonging agents]
[N05AE03, sertindole, QT prolonging agents - QT prolonging agents]
[R06AX11, astemizole, QT prolonging agents - QT prolonging agents]
[R06AX12, terfenadine, QT prolonging agents - QT prolonging agents]
[C01BC04, flecainide, QT prolonging agents - QT prolonging agents]
[J02AC01, fluconazole, QT prolonging agents - QT prolonging agents]
[C01BD04, dofetilide, QT prolonging agents - QT prolonging agents]
[P01BX01, halofantrine, QT prolonging agents - QT prolonging agents]
[N05AD01, haloperidol, QT prolonging agents - QT prolonging agents]
[P01BA02, hydroxychloroquine, QT prolonging agents - QT prolonging agents]
[H01BA04, terlipressin, QT prolonging agents - QT prolonging agents]
[L01XX35, anagrelide, QT prolonging agents - QT prolonging agents]
[N05AC03, mesoridazine, QT prolonging agents - QT prolonging agents]
[N07BC02, methadone, QT prolonging agents - QT prolonging agents]
[N05AA02, methotrimeprazine, QT prolonging agents - QT prolonging agents]
[C01BD01, amiodarone, QT prolonging agents - QT prolonging agents]
[S01AE05, levofloxacin, QT prolonging agents - QT prolonging agents]
[N05AG02, pimozide, QT prolonging agents - QT prolonging agents]
[J01MA11, grepafloxacin, QT prolonging agents - QT prolonging agents]
[C10AX02, probucol, QT prolonging agents - QT prolonging agents]
[C01BA02, procainamide, QT prolonging agents - QT prolonging agents]
[N01AX10, propofol, QT prolonging agents - QT prolonging agents]
[C01BA01, quinidine, QT prolonging agents - QT prolonging agents]
[J01FA06, roxithromycin, QT prolonging agents - QT prolonging agents]
[C07AA07, sotalol, QT prolonging agents - QT prolonging agents]
